pathogen,countermeasure_status,trigger_day,reduction_strength,ramp_days,post_intervention_Rt,winner,winner_key,cost_none,cost_rapid,cost_lab,cost_molecular
SARS-CoV-2,swept,14,0.4,7,0.96,High-throughput molecular screening,molecular,9455287630.234556,3497092673.587489,699258458.4515259,410925129.9644514
SARS-CoV-2,swept,14,0.4,14,0.96,High-throughput molecular screening,molecular,10132986241.453178,3790725517.019713,731085428.129889,442752099.6428136
SARS-CoV-2,swept,14,0.4,21,0.96,High-throughput molecular screening,molecular,11112832131.045584,4225902118.2106066,779220956.8130836,490887628.32600933
SARS-CoV-2,swept,14,0.6,7,0.64,High-throughput molecular screening,molecular,1870437351.301596,654716745.0773678,416765547.4971363,128432219.0100616
SARS-CoV-2,swept,14,0.6,14,0.64,High-throughput molecular screening,molecular,2051401171.7815936,714120325.5551118,422273122.63331175,133939794.1462374
SARS-CoV-2,swept,14,0.6,21,0.64,High-throughput molecular screening,molecular,2312469293.3581834,800015947.8829406,430244992.3150539,141911663.82797897
SARS-CoV-2,swept,14,0.8,7,0.32,High-throughput molecular screening,molecular,1056927628.1974481,388694862.8935793,392143241.36171573,103809912.87464124
SARS-CoV-2,swept,14,0.8,14,0.32,High-throughput molecular screening,molecular,1178183545.3381283,428208925.09600466,395794977.3806888,107461648.8936139
SARS-CoV-2,swept,14,0.8,21,0.32,High-throughput molecular screening,molecular,1346267361.3072011,483047947.0505053,400865620.61573505,112532292.12866051
SARS-CoV-2,swept,21,0.4,7,0.96,High-throughput molecular screening,molecular,11102753259.746557,4221388110.2664814,778722606.8281351,490389278.341061
SARS-CoV-2,swept,21,0.4,14,0.96,High-throughput molecular screening,molecular,12473641006.061586,4849934891.665685,850291124.789536,561957796.302461
SARS-CoV-2,swept,21,0.4,21,0.96,High-throughput molecular screening,molecular,14335499720.556515,5737710869.431113,955558112.4470942,667224783.960019
SARS-CoV-2,swept,21,0.6,7,0.64,High-throughput molecular screening,molecular,2350486343.8155603,812516281.8698022,431404821.7085967,143071493.22152197
SARS-CoV-2,swept,21,0.6,14,0.64,High-throughput molecular screening,molecular,2758346470.6699457,947200475.2246656,443925053.345764,155591724.85868904
SARS-CoV-2,swept,21,0.6,21,0.64,High-throughput molecular screening,molecular,3329648715.425664,1136870187.3552618,461598989.98232085,173265661.495246
SARS-CoV-2,swept,21,0.8,7,0.32,High-throughput molecular screening,molecular,1397320209.8780308,499708928.50837225,402406345.9680609,114073017.48098598
SARS-CoV-2,swept,21,0.8,14,0.32,High-throughput molecular screening,molecular,1671776274.403302,589446673.37319,410711740.44707453,122378411.95999967
SARS-CoV-2,swept,21,0.8,21,0.32,High-throughput molecular screening,molecular,2041881892.8660183,710810881.3992823,421958591.12124217,133625262.63416739
SARS-CoV-2,swept,35,0.4,7,0.96,High-throughput molecular screening,molecular,20067911303.527416,8666664601.092302,1338084889.3892152,1049751560.9021404
SARS-CoV-2,swept,35,0.4,14,0.96,High-throughput molecular screening,molecular,24117131162.898754,10873294981.184856,1662423610.8375869,1374090282.3505123
SARS-CoV-2,swept,35,0.4,21,0.96,High-throughput molecular screening,molecular,29089668750.56458,13699225242.349438,2123262251.130755,1834928922.6436791
SARS-CoV-2,swept,35,0.6,7,0.64,High-throughput molecular screening,molecular,5727410297.068585,1944603818.1479301,537366694.942935,249033366.45586008
SARS-CoV-2,swept,35,0.6,14,0.64,High-throughput molecular screening,molecular,7553446779.309718,2574256191.7446046,597068677.1666484,308735348.67957306
SARS-CoV-2,swept,35,0.6,21,0.64,High-throughput molecular screening,molecular,9998282086.459675,3438211810.89556,679946389.0490315,391613060.5619577
SARS-CoV-2,swept,35,0.8,7,0.32,High-throughput molecular screening,molecular,3822803879.9103713,1300007748.2242002,476774470.46830463,188441141.98122925
SARS-CoV-2,swept,35,0.8,14,0.32,High-throughput molecular screening,molecular,5084594049.928925,1723450615.2870111,516420567.0932964,228087238.6062219
SARS-CoV-2,swept,35,0.8,21,0.32,High-throughput molecular screening,molecular,6730509200.094363,2283852459.3660793,569234178.0160496,280900849.5289754
SARS-CoV-2,swept,50,0.4,7,0.96,High-throughput molecular screening,molecular,45010170214.14573,23277725867.49104,4038987249.994859,3750653921.507787
SARS-CoV-2,swept,50,0.4,14,0.96,High-throughput molecular screening,molecular,53744317491.06787,28930921928.246445,5407453255.443798,5119119926.956721
