Rt,cost_per_case,winner,winner_key,cost_none,cost_rapid,cost_lab,cost_molecular
0.5,10.0,No systematic screening,none,207599.55772343435,45119558.759696275,360422889.4350097,72089560.9479347
0.5,17.78279410038923,No systematic screening,none,369170.01903277007,45172074.08405301,360427737.202163,72094408.71508841
0.5,31.622776601683793,No systematic screening,none,656487.4436496525,45265461.00406805,360436357.8866775,72103029.3996024
0.5,56.23413251903491,No systematic screening,none,1167418.103991264,45431529.04109783,360451687.8724488,72118359.38537423
0.5,100.0,No systematic screening,none,2075995.5772343432,45726844.41201341,360478948.8705035,72145620.38342845
0.5,177.82794100389228,No systematic screening,none,3691700.1903276993,46251997.655580655,360527426.5420403,72194098.0549655
0.5,316.22776601683796,No systematic screening,none,6564874.436496522,47185866.85573146,360613633.3871811,72280304.90010622
0.5,562.341325190349,No systematic screening,none,11674181.039912647,48846547.22602911,360766933.2448994,72433604.75782447
0.5,1000.0,No systematic screening,none,20759955.772343423,51799700.93518522,361039543.2254416,72706214.73836663
0.5,1778.2794100389228,No systematic screening,none,36917001.903277,57051233.37085768,361524319.9408108,73190991.45373598
0.5,3162.2776601683795,No systematic screening,none,65648744.364965215,66389925.372365616,362386388.3922185,74053059.90514354
0.5,5623.413251903491,High-throughput molecular screening,molecular,116741810.39912643,82996729.07534206,363919386.9694009,75586058.48232584
0.5,10000.0,High-throughput molecular screening,molecular,207599557.72343454,112528266.16690357,366645486.7748232,78312158.2877482
0.5,17782.794100389227,High-throughput molecular screening,molecular,369170019.0327701,165043590.52362773,371493253.92851645,83159925.44144158
0.5,31622.776601683792,High-throughput molecular screening,molecular,656487443.6496524,258430510.53870636,380113938.44259244,91780609.95551766
0.5,56234.13251903491,High-throughput molecular screening,molecular,1167418103.991264,424498547.5684718,395443924.2144151,107110595.72734056
0.5,100000.0,High-throughput molecular screening,molecular,2075995577.2343433,719813918.4840858,422704922.2686376,134371593.78156275
0.5,177827.94100389228,High-throughput molecular screening,molecular,3691700190.3277,1244967162.0513284,471182593.8055724,182849265.31849727
0.5,316227.7660168379,High-throughput molecular screening,molecular,6564874436.496518,2178836362.2021136,557389438.9463329,269056110.4592582
0.5,562341.3251903491,High-throughput molecular screening,molecular,11674181039.912645,3839516732.4997725,710689296.6645617,422355968.1774867
0.5,1000000.0,High-throughput molecular screening,molecular,20759955772.34343,6792670441.655912,983299277.2067845,694965948.7197089
0.5,1778279.410038923,High-throughput molecular screening,molecular,36917001903.277016,12044202877.328346,1468075992.5761302,1179742664.0890555
0.5,3162277.6601683795,High-throughput molecular screening,molecular,65648744364.965195,21382894878.836174,2330144443.983737,2041811115.4966626
0.5,5623413.251903491,High-throughput molecular screening,molecular,72659845203.20209,23661716339.355434,2540505818.7016354,2252172490.2145605
0.5,10000000.0,High-throughput molecular screening,molecular,72659845203.20209,23661716339.355434,2540505818.7016354,2252172490.2145605
0.6285714285714286,10.0,No systematic screening,none,210514.231454823,45120506.63917244,360422976.95622385,72089648.46914892
0.6285714285714286,17.78279410038923,No systematic screening,none,374353.1233162793,45173759.67860871,360427892.83933645,72094564.35226163
0.6285714285714286,31.622776601683793,No systematic screening,none,665704.4512771022,45268458.46216009,360436634.65305775,72103306.165983
0.6285714285714286,56.23413251903491,No systematic screening,none,1183808.518877331,45436859.359105445,360452180.04040486,72118851.55333024
0.6285714285714286,100.0,No systematic screening,none,2105142.3145482284,45736323.20677534,360479824.0826457,72146495.59557083
0.6285714285714286,177.82794100389228,No systematic screening,none,3743531.233162798,46268853.60113787,360528982.9137723,72195654.4266976
0.6285714285714286,316.22776601683796,No systematic screening,none,6657044.512771021,47215841.43665254,360616401.05098635,72283072.56391189
0.6285714285714286,562.341325190349,No systematic screening,none,11838085.188773293,48899850.406105585,360771854.9244587,72438526.43738398
0.6285714285714286,1000.0,No systematic screening,none,21051423.145482287,51894488.88280484,361048295.34686494,72714966.85979006
0.6285714285714286,1778.2794100389228,No systematic screening,none,37435312.33162795,57219792.82642944,361539883.65813255,73206555.17105754
0.6285714285714286,3162.2776601683795,No systematic screening,none,66570445.12771017,66689671.181576245,362414065.030275,74080736.54320014
0.6285714285714286,5623.413251903491,High-throughput molecular screening,molecular,118380851.88773297,83529760.87610693,363968603.76499593,75635275.27792104
0.6285714285714286,10000.0,High-throughput molecular screening,molecular,210514231.4548229,113476145.64309955,366733007.98905754,78399679.50198297
0.6285714285714286,17782.794100389227,High-throughput molecular screening,molecular,374353123.3162796,166729185.07934564,371648891.1017321,83315562.61465707
0.6285714285714286,31622.776601683792,High-throughput molecular screening,molecular,665704451.2771021,261427968.63081324,380390704.82315826,92057376.3360834
0.6285714285714286,56234.13251903491,High-throughput molecular screening,molecular,1183808518.8773293,429828865.5761204,395936092.170367,107602763.68329164
0.6285714285714286,100000.0,High-throughput molecular screening,molecular,2105142314.5482297,729292713.2460473,423580134.4109865,135246805.9239115
0.6285714285714286,177827.94100389228,High-throughput molecular screening,molecular,3743531233.1627955,1261823107.6085098,472738965.5377271,184405637.05065235
0.6285714285714286,316227.7660168379,High-throughput molecular screening,molecular,6657044512.771025,2208810943.123183,560157102.7519906,271823774.2649158
0.6285714285714286,562341.3251903491,High-throughput molecular screening,molecular,11838085188.773294,3892819912.5762596,715610976.2240735,427277647.7369978
0.6285714285714286,1000000.0,High-throughput molecular screening,molecular,21051423145.4823,6887458389.275521,992051398.6302723,703718070.1431977
0.6285714285714286,1778279.410038923,High-throughput molecular screening,molecular,37435312331.62799,12212762332.90013,1483639709.8976796,1195306381.410606
0.6285714285714286,3162277.6601683795,High-throughput molecular screening,molecular,66570445127.710175,21682640688.046898,2357821082.040316,2069487753.553241
0.6285714285714286,5623413.251903491,High-throughput molecular screening,molecular,73679981009.18791,23993474156.02405,2571138243.683843,2282804915.196768
0.6285714285714286,10000000.0,High-throughput molecular screening,molecular,73679981009.18791,23993474156.02405,2571138243.683843,2282804915.196768
0.7571428571428571,10.0,No systematic screening,none,214966.7330958765,45121954.731263824,360423110.6678097,72089782.18073456
0.7571428571428571,17.78279410038923,No systematic screening,none,382270.91530772956,45176334.79095866,360428130.61589587,72094802.12882122
0.7571428571428571,31.622776601683793,No systematic screening,none,679784.4977484677,45273037.7314307,360437057.48621804,72103728.99914327
0.7571428571428571,56.23413251903491,No systematic screening,none,1208846.775609751,45445002.57936228,360452931.95590776,72119603.4688329
0.7571428571428571,100.0,No systematic screening,none,2149667.330958763,45750804.12768949,360481161.19850224,72147832.71142733
0.7571428571428571,177.82794100389228,No systematic screening,none,3822709.153077294,46294604.72463779,360531360.67936933,72198032.19229405
0.7571428571428571,316.22776601683796,No systematic screening,none,6797844.977484685,47261634.12935785,360620629.3825888,72287300.89551398
0.7571428571428571,562.341325190349,No systematic screening,none,12088467.756097514,48981282.6086737,360779374.07948595,72446045.59241085
0.7571428571428571,1000.0,No systematic screening,none,21496673.30958764,52039298.09194584,361061666.50543004,72728338.01835538
0.7571428571428571,1778.2794100389228,No systematic screening,none,38227091.53077297,57477304.061429,361563661.3140971,73230332.82702252
