pathogen,prevalence_tier,best_strategy,comparison_strategy,best_cost_icu,alt_cost_icu,best_fp_cum,alt_fp_cum,breakeven_cost_per_fp
Diphtheria,0.5x,Sentinel RT-LAMP,No screening,81226995.15,304566532.75,58394.2,0.0,3824.69
Diphtheria,0.5x,Sentinel RT-LAMP,RAT,81226995.15,144086453.21,58394.2,21897.8,1722.35
Diphtheria,0.5x,Sentinel RT-LAMP,Lab PCR,81226995.15,369560323.63,58394.2,58394.2,
Diphtheria,0.5x,Sentinel RT-LAMP,Sentinel RT-LAMP,81226995.15,81226995.15,58394.2,58394.2,
Diphtheria,1x,Sentinel RT-LAMP,No screening,90370245.43,608675643.62,58388.3,0.0,8876.87
Diphtheria,1x,Sentinel RT-LAMP,RAT,90370245.43,243072422.46,58388.3,21895.6,4184.46
Diphtheria,1x,Sentinel RT-LAMP,Lab PCR,90370245.43,378703573.92,58388.3,58388.3,
Diphtheria,1x,Sentinel RT-LAMP,Sentinel RT-LAMP,90370245.43,90370245.43,58388.3,58388.3,
Diphtheria,2x,Sentinel RT-LAMP,No screening,108655507.93,1215526419.3,58376.6,0.0,18960.85
Diphtheria,2x,Sentinel RT-LAMP,RAT,108655507.93,440899322.92,58376.6,21891.2,9106.21
Diphtheria,2x,Sentinel RT-LAMP,Lab PCR,108655507.93,396988836.42,58376.6,58376.6,
Diphtheria,2x,Sentinel RT-LAMP,Sentinel RT-LAMP,108655507.93,108655507.93,58376.6,58376.6,
Ebola,0.5x,Sentinel RT-LAMP,No screening,242148933.72,5667817908.43,58370.8,0.0,92951.77
Ebola,0.5x,Sentinel RT-LAMP,RAT,242148933.72,1887327059.32,58370.8,21889.1,45095.92
Ebola,0.5x,Sentinel RT-LAMP,Lab PCR,242148933.72,530482262.21,58370.8,58370.8,
Ebola,0.5x,Sentinel RT-LAMP,Sentinel RT-LAMP,242148933.72,242148933.72,58370.8,58370.8,
Ebola,1x,Sentinel RT-LAMP,No screening,412212613.06,11333502448.0,58341.6,0.0,187195.58
Ebola,1x,Sentinel RT-LAMP,RAT,412212613.06,3729376521.3,58341.6,21878.1,90972.18
Ebola,1x,Sentinel RT-LAMP,Lab PCR,412212613.06,700545941.55,58341.6,58341.6,
Ebola,1x,Sentinel RT-LAMP,Sentinel RT-LAMP,412212613.06,412212613.06,58341.6,58341.6,
Ebola,2x,Sentinel RT-LAMP,No screening,752334205.46,22658481373.33,58283.2,0.0,375856.97
Ebola,2x,Sentinel RT-LAMP,RAT,752334205.46,7412799243.22,58283.2,21856.2,182844.18
Ebola,2x,Sentinel RT-LAMP,Lab PCR,752334205.46,1040667533.95,58283.2,58283.2,
Ebola,2x,Sentinel RT-LAMP,Sentinel RT-LAMP,752334205.46,752334205.46,58283.2,58283.2,
Influenza A/B,0.5x,Sentinel RT-LAMP,No screening,76887723.4,159588057.4,57232.0,0.0,1445.0
Influenza A/B,0.5x,Sentinel RT-LAMP,RAT,76887723.4,97044202.65,57232.0,21462.0,563.5
Influenza A/B,0.5x,Sentinel RT-LAMP,Lab PCR,76887723.4,365221051.88,57232.0,57232.0,
Influenza A/B,0.5x,Sentinel RT-LAMP,Sentinel RT-LAMP,76887723.4,76887723.4,57232.0,57232.0,
Influenza A/B,1x,Sentinel RT-LAMP,No screening,81691071.6,318041019.68,56064.0,0.0,4215.72
Influenza A/B,1x,Sentinel RT-LAMP,RAT,81691071.6,148914683.69,56064.0,21024.0,1918.48
Influenza A/B,1x,Sentinel RT-LAMP,Lab PCR,81691071.6,370024400.09,56064.0,56064.0,
