scale,scenario,avian_included,prob_scenario,lead_days,n_total,N_downstream,flights_per_year,portfolio_ev_usd,annual_threshold_usd,threshold_per_flight_usd,deaths_averted,vsl,icu_enabled
Australia,A,False,low,2,52700,27100000,76942.0,644575.816088802,644575.816088802,8.37742476266281,0.16358419083914486,3500000,True
Australia,A,False,low,5,52700,27100000,76942.0,1329010.3825989536,1329010.3825989536,17.272885843868803,0.3497557115485633,3500000,True
Australia,A,False,low,10,52700,27100000,76942.0,2108229.112260654,2108229.112260654,27.400238000840297,0.5664734722978279,3500000,True
Australia,A,False,low,14,52700,27100000,76942.0,2523111.092158387,2523111.092158387,32.79237727324981,0.683200603895944,3500000,True
Australia,A,False,base,2,52700,27100000,76942.0,11068251.530615123,11068251.530615123,143.8518823349422,2.7681427567817924,3500000,True
Australia,A,False,base,5,52700,27100000,76942.0,22600024.50340161,22600024.50340161,293.72806144110643,5.89511334239848,3500000,True
Australia,A,False,base,10,52700,27100000,76942.0,35701005.60699944,35701005.60699944,463.99892915442075,9.541062702642238,3500000,True
Australia,A,False,base,14,52700,27100000,76942.0,42693765.94039261,42693765.94039261,554.8824561408933,11.512592758204034,3500000,True
Australia,A,False,high,2,52700,27100000,76942.0,60928579.59959795,60928579.59959795,791.8767331184263,15.415149427233144,3500000,True
Australia,A,False,high,5,52700,27100000,76942.0,125754569.17708318,125754569.17708318,1634.4073350976473,33.07002032963701,3500000,True
Australia,A,False,high,10,52700,27100000,76942.0,200522881.85252425,200522881.85252425,2606.1563496208087,53.911682267433214,3500000,True
Australia,A,False,high,14,52700,27100000,76942.0,240975425.48934454,240975425.48934454,3131.9100814814346,65.31793078727786,3500000,True
Australia,A,True,low,2,52700,27100000,76942.0,1835182.4080613472,1835182.4080613472,23.85150383485414,0.4977308562556791,3500000,True
Australia,A,True,low,5,52700,27100000,76942.0,3434707.719318595,3434707.719318595,44.640218857302834,0.9407288654267648,3500000,True
Australia,A,True,low,10,52700,27100000,76942.0,4775860.344820275,4775860.344820275,62.07091503756433,1.315204624712997,3500000,True
Australia,A,True,low,14,52700,27100000,76942.0,5330565.505503188,5330565.505503188,69.280308615622,1.4712339193958146,3500000,True
Australia,A,True,base,2,52700,27100000,76942.0,40833416.329928756,40833416.329928756,530.7038591397254,11.121809392195148,3500000,True
Australia,A,True,base,5,52700,27100000,76942.0,75242457.92139265,75242457.92139265,977.9113867769573,20.669442189353514,3500000,True
Australia,A,True,base,10,52700,27100000,76942.0,102391786.42098998,102391786.42098998,1330.7658550725218,28.259341513021464,3500000,True
Australia,A,True,base,14,52700,27100000,76942.0,112880126.27401263,112880126.27401263,1467.080739700198,31.213425645700795,3500000,True
Australia,A,True,high,2,52700,27100000,76942.0,269284733.19479334,269284733.19479334,3499.8405707519087,73.89081587512663,3500000,True
Australia,A,True,high,5,52700,27100000,76942.0,494251603.1030204,494251603.1030204,6423.690612448603,136.49032225832227,3500000,True
Australia,A,True,high,10,52700,27100000,76942.0,667358347.550458,667358347.550458,8673.524831047516,184.9396339400878,3500000,True
Australia,A,True,high,14,52700,27100000,76942.0,732279947.8246846,732279947.8246846,9517.298066396566,203.22376099975517,3500000,True
Australia,B,False,low,2,52700,27100000,76942.0,897899.319961421,897899.319961421,11.669820383684087,0.22274753068221156,3500000,True
Australia,B,False,low,5,52700,27100000,76942.0,2343527.5745190387,2343527.5745190387,30.45836571078265,0.6112209682190246,3500000,True
Australia,B,False,low,10,52700,27100000,76942.0,5625307.49673742,5625307.49673742,73.1110121485979,1.512734090692455,3500000,True
Australia,B,False,low,14,52700,27100000,76942.0,9415011.436448324,9415011.436448324,122.36504687229764,2.5583212706188467,3500000,True
Australia,B,False,base,2,52700,27100000,76942.0,15478171.453651516,15478171.453651516,201.16674187896749,3.770940582761906,3500000,True
Australia,B,False,base,5,52700,27100000,76942.0,39705575.88790837,39705575.88790837,516.0455393401311,10.249015201292803,3500000,True
