pathogen,prevalence_scenario,best_strategy,comparison_strategy,published_breakeven_usd_per_fp,breakeven_at_2000,breakeven_at_3000,breakeven_at_4500,breakeven_at_6000,pct_change_2000_vs_3000,pct_change_6000_vs_3000
Diphtheria,0.5x,Sentinel RT-LAMP,No screening,3824.69,3824.69,3824.69,3824.69,3824.69,0.0,0.0
Diphtheria,0.5x,Sentinel RT-LAMP,RAT,1722.35,1722.35,1722.35,1722.35,1722.35,0.0,0.0
Diphtheria,1x,Sentinel RT-LAMP,No screening,8876.87,8876.87,8876.87,8876.87,8876.87,0.0,0.0
Diphtheria,1x,Sentinel RT-LAMP,RAT,4184.46,4184.46,4184.46,4184.46,4184.46,0.0,0.0
Diphtheria,2x,Sentinel RT-LAMP,No screening,18960.85,18960.87,18960.87,18960.87,18960.87,0.0,0.0
Diphtheria,2x,Sentinel RT-LAMP,RAT,9106.21,9106.21,9106.21,9106.21,9106.21,0.0,0.0
Ebola,0.5x,Sentinel RT-LAMP,No screening,92951.77,92806.68,92951.77,93169.4,93387.03,-0.156,0.468
Ebola,0.5x,Sentinel RT-LAMP,RAT,45095.92,45025.37,45095.98,45201.9,45307.81,-0.156,0.47
Ebola,1x,Sentinel RT-LAMP,No screening,187195.58,186905.32,187195.58,187630.98,188066.39,-0.155,0.465
Ebola,1x,Sentinel RT-LAMP,RAT,90972.18,90830.9,90972.18,91184.09,91396.01,-0.155,0.466
Ebola,2x,Sentinel RT-LAMP,No screening,375856.97,375276.08,375856.97,376728.31,377599.65,-0.155,0.464
Ebola,2x,Sentinel RT-LAMP,RAT,182844.18,182561.38,182844.18,183268.39,183692.6,-0.155,0.464
Influenza A/B,0.5x,Sentinel RT-LAMP,No screening,1445.0,1431.87,1445.0,1464.7,1484.39,-0.909,2.726
Influenza A/B,0.5x,Sentinel RT-LAMP,RAT,563.5,557.1,563.5,573.11,582.71,-1.136,3.409
Influenza A/B,1x,Sentinel RT-LAMP,No screening,4215.72,4189.01,4215.72,4255.78,4295.84,-0.634,1.901
Influenza A/B,1x,Sentinel RT-LAMP,RAT,1918.48,1905.42,1918.48,1938.07,1957.66,-0.681,2.042
Influenza A/B,2x,Sentinel RT-LAMP,No screening,10056.99,10001.65,10056.99,10139.99,10222.99,-0.55,1.651
Influenza A/B,2x,Sentinel RT-LAMP,RAT,4794.5,4767.32,4794.5,4835.28,4876.05,-0.567,1.701
Mpox,0.5x,Sentinel RT-LAMP,No screening,31969.88,31962.5,31969.88,31980.95,31992.02,-0.023,0.069
Mpox,0.5x,Sentinel RT-LAMP,RAT,15422.24,15418.65,15422.24,15427.63,15433.02,-0.023,0.07
Mpox,1x,Sentinel RT-LAMP,No screening,65269.69,65254.91,65269.69,65291.86,65314.03,-0.023,0.068
Mpox,1x,Sentinel RT-LAMP,RAT,31643.63,31636.43,31643.63,31654.42,31665.22,-0.023,0.068
Mpox,2x,Sentinel RT-LAMP,No screening,132159.02,132129.37,132159.02,132203.49,132247.96,-0.022,0.067
Mpox,2x,Sentinel RT-LAMP,RAT,64263.56,64249.12,64263.56,64285.23,64306.9,-0.022,0.067
Norovirus,0.5x,Sentinel RT-LAMP,No screening,1193.88,1176.69,1193.88,1219.66,1245.45,-1.44,4.32
Norovirus,0.5x,Sentinel RT-LAMP,RAT,1499.36,1483.54,1499.36,1523.1,1546.83,-1.055,3.166
Norovirus,1x,Sentinel RT-LAMP,No screening,1548.94,1529.14,1548.94,1578.64,1608.34,-1.278,3.835
Norovirus,1x,Sentinel RT-LAMP,RAT,2174.46,2153.82,2174.46,2205.41,2236.37,-0.949,2.847
Norovirus,2x,Sentinel RT-LAMP,No screening,1690.4,1669.37,1690.4,1721.94,1753.48,-1.244,3.732
Norovirus,2x,Sentinel RT-LAMP,RAT,2638.93,2614.89,2638.93,2675.0,2711.07,-0.911,2.734
SARS-CoV-2,0.5x,Sentinel RT-LAMP,No screening,21941.79,21898.49,21941.79,22006.74,22071.69,-0.197,0.592
SARS-CoV-2,0.5x,Sentinel RT-LAMP,RAT,10571.81,10550.65,10571.79,10603.5,10635.2,-0.2,0.6
SARS-CoV-2,1x,Sentinel RT-LAMP,No screening,45246.41,45159.57,45246.41,45376.68,45506.94,-0.192,0.576
SARS-CoV-2,1x,Sentinel RT-LAMP,RAT,22018.18,21975.66,22018.18,22081.97,22145.76,-0.193,0.579
SARS-CoV-2,2x,Sentinel RT-LAMP,No screening,92275.5,92100.79,92275.5,92537.57,92799.63,-0.189,0.568
SARS-CoV-2,2x,Sentinel RT-LAMP,RAT,45326.62,45240.54,45326.62,45455.74,45584.85,-0.19,0.57
