pathogen,scenario,variant,icu_fraction,icu_los_days,bd_no_icu,bd_at_2000,icu_share_pct_at_2000,bd_at_3000,icu_share_pct_at_3000,bd_at_4500,icu_share_pct_at_4500,bd_at_6000,icu_share_pct_at_6000
Norovirus,A,low,0.01,1,48743123.06,48863245.99,0.2458,48923307.46,0.3683,49013399.65,0.5514,49103491.85,0.7339
Norovirus,A,mid,0.03,2,48743123.06,49463860.64,1.4571,49824229.43,2.1698,50364782.61,3.2198,50905335.79,4.2475
Norovirus,A,high,0.05,3,48743123.06,50544967.0,3.5648,51445888.97,5.2536,52797271.93,7.6787,54148654.89,9.9828
Ebola,A,field,0.05,5,1130864697.08,1131115025.63,0.0221,1131240189.91,0.0332,1131427936.32,0.0498,1131615682.74,0.0664
Ebola,A,mid,0.35,10,1130864697.08,1134369296.82,0.3089,1136121596.68,0.4627,1138750046.49,0.6925,1141378496.29,0.9211
Ebola,A,western,0.8,12,1130864697.08,1140477313.5,0.8429,1145283621.71,1.259,1152493084.02,1.8767,1159702546.33,2.4867
Diphtheria,A,zero,,,135842063.8,135842063.8,0.0,135842063.8,0.0,135842063.8,0.0,135842063.8,0.0
Diphtheria,A,low,0.1,5,135842063.8,135995727.24,0.113,136072558.96,0.1694,136187806.54,0.2539,136303054.12,0.3382
Diphtheria,A,high,0.3,7,135842063.8,136487450.25,0.4729,136810143.47,0.7076,137294183.31,1.0577,137778223.14,1.4053
Avian_H5N1_stress,A,seasonal_proxy,0.17,5,9615012065.27,9635913985.62,0.2169,9646364945.79,0.325,9662041386.05,0.4867,9677717826.31,0.6479
Avian_H5N1_stress,A,intermediate,0.5,8,9615012065.27,9713374043.37,1.0126,9762555032.42,1.5113,9836326516.0,2.25,9910097999.57,2.9776
