pathogen,prevalence_tier,strategy,strategy_key,wbe_gated,route_targeted,is_stress_test_only,Rt,gamma,infectious_period_days,CFR_pct,hosp_rate_pct,symptomatic_fraction_pct,sensitivity,specificity,cost_per_test,prevalence_frac,final_S,final_I,final_R,true_positives_cum,false_positives_cum,cumulative_infections,cumulative_hosp_cases,cumulative_deaths,screening_cost,hospital_cost,productivity_cost,mortality_cost,icu_cost,total_societal_cost,cost_minimising_primary_strategy,incremental_cost_vs_no_screening,cases_averted_vs_no_screening,deaths_averted_vs_no_screening,follow_up_modality,follow_up_sensitivity,follow_up_specificity,wbe_detection_prob,wbe_false_positive_rate,follow_up_coverage,avg_pax_per_flight,wbe_cost_per_sample,wbe_sampling_cost,followup_testing_cost,wbe_parameter_status
SARS-CoV-2,0.5x,No systematic screening,none,False,False,False,1.6,0.18181818181818182,5.5,0.75,7.5,65.0,0.0,1.0,0.0,0.0075,9959974.767564343,455.1593896665297,50520.07304599359,0.0,0.0,50945.23243565671,2483.5800812382677,382.0892432674262,0.0,41897483.878800124,8903215.32424502,1327069625.1203647,7763357.306954137,1385633681.6303642,High-throughput molecular screening,0.0,0.0,0.0,,,,,,,,,,,
SARS-CoV-2,0.5x,Rapid Antigen Test (RAT),rapid,False,False,False,1.6,0.18181818181818182,5.5,0.75,7.5,65.0,0.675,0.994,12.5,0.0075,9986938.834509917,148.62019667879875,16471.29529341082,18478.125,21735.749999999854,16610.165490083396,809.7455676415661,124.57624117562534,45052082.57610544,13660143.938257046,2902780.586879621,432674242.38823247,2531144.317971157,496820393.8074452,High-throughput molecular screening,-888813287.8229189,34335.066945573315,257.51300209180084,,,,,,,,,,,
SARS-CoV-2,0.5x,Laboratory PCR,lab,False,False,False,1.6,0.18181818181818182,5.5,0.75,7.5,65.0,0.97,0.984,100.0,0.0075,9998792.199537981,13.747107969997879,1522.5533540489896,26553.75,57962.00000000036,1535.4004620183414,74.85077252339343,11.51550346513744,360416660.6088435,1262704.1775689838,268324.63773340906,39995154.94562393,233971.65643190008,402176816.02620184,High-throughput molecular screening,-983456865.6041623,49409.83197363837,370.57373980228874,,,,,,,,,,,
SARS-CoV-2,0.5x,High-throughput molecular screening,molecular,False,False,False,1.6,0.18181818181818182,5.5,0.75,7.5,65.0,0.97,0.984,20.0,0.0075,9998792.199537981,13.747107969997879,1522.5533540489896,26553.75,57962.00000000036,1535.4004620183414,74.85077252339343,11.51550346513744,72083332.12176865,1262704.1775689838,268324.63773340906,39995154.94562393,233971.65643190008,113843487.53912695,High-throughput molecular screening,-1271790194.0912373,49409.83197363837,370.57373980228874,,,,,,,,,,,
SARS-CoV-2,0.5x,WBE-gated RAT follow-up,wbe_gated_rat,True,False,False,1.6,0.18181818181818182,5.5,0.75,7.5,65.0,,,12.5,0.0075,9978601.98207179,243.43669524245195,26992.184545083262,5112.396687886495,6798.21590823018,27219.62780659038,1326.956855571267,204.14720854942573,14799422.817055145,22385379.152351107,4756893.069874606,709039158.6717545,4147879.078229763,755128732.7892643,High-throughput molecular screening,-630504948.8410999,23725.604629066333,177.94203471800046,rapid,0.675,0.994,0.5,0.02,1.0,250,50,720833.3212176873,14078589.495837463,placeholder_not_for_inference
SARS-CoV-2,0.5x,WBE-gated Laboratory PCR follow-up,wbe_gated_pcr,True,False,False,1.6,0.18181818181818182,5.5,0.75,7.5,65.0,,,100.0,0.0075,9986775.66658344,150.47628065896268,16677.153747393968,7346.703388518388,18128.575755280366,16817.75798253093,819.8657016483797,126.13318486898147,113349549.28791745,13830867.89919451,2939059.428578832,438081788.6622696,2562778.4636742747,570764043.7416348,High-throughput molecular screening,-814869637.8887293,34127.47445312578,255.95605839844472,lab,0.97,0.984,0.5,0.02,1.0,250,50,720833.3212176873,112628715.9666997,placeholder_not_for_inference
SARS-CoV-2,0.5x,WBE-gated Sentinel RT-LAMP follow-up,wbe_gated_lamp,True,False,False,1.6,0.18181818181818182,5.5,0.75,7.5,65.0,,,20.0,0.0075,9986775.66658344,150.47628065896268,16677.153747393968,7346.703388518388,18128.575755280366,16817.75798253093,819.8657016483797,126.13318486898147,23246576.514557652,13830867.89919451,2939059.428578832,438081788.6622696,2562778.4636742747,480661070.9682749,High-throughput molecular screening,-904972610.6620893,34127.47445312578,255.95605839844472,molecular,0.97,0.984,0.5,0.02,1.0,250,50,720833.3212176873,22525743.193339966,placeholder_not_for_inference
SARS-CoV-2,0.5x,High-throughput molecular (route-targeted),molecular_route_targeted,False,True,False,1.6,0.18181818181818182,5.5,0.75,7.5,65.0,0.97,0.984,20.0,0.0075,9996981.32220192,34.356935088034454,3805.570862995529,2655.375000000018,5796.200000000033,3837.6777980793267,187.08679265636698,28.78258348559496,7208333.212176865,3156084.8400244564,670668.0285051963,99966488.14557105,584803.9556515903,111586378.18192904,High-throughput molecular screening,-1274047303.448435,47107.554637577385,353.30665978183123,,,,,,,,,,,
SARS-CoV-2,1x,No systematic screening,none,False,False,False,1.6,0.18181818181818182,5.5,0.75,7.5,65.0,0.0,1.0,0.0,0.015,9920425.631877048,904.1293273667359,100570.23879559546,0.0,0.0,101414.36812295206,4943.95044599391,760.6077609221403,0.0,83404277.99868423,17723409.074720412,2641764461.496785,15454322.0997562,2758346470.6699457,High-throughput molecular screening,0.0,0.0,0.0,,,,,,,,,,,
SARS-CoV-2,1x,Rapid Antigen Test (RAT),rapid,False,False,False,1.6,0.18181818181818182,5.5,0.75,7.5,65.0,0.675,0.994,12.5,0.015,9973928.823882056,296.5697101633227,32892.10640777322,36956.25,21571.49999999995,33169.1761179436,1616.9973357497506,248.76882088457717,45052082.57610544,27278311.8932306,5796641.277311495,864018928.7448604,5054510.733157436,947200475.2246656,High-throughput molecular screening,-1811145995.44528,68245.19200500846,511.83894003756313,,,,,,,,,,,
