pathogen,modality_key,modality_label,lead_days,B_screening_only,B_combined,B_incremental_CM,pct_CM_of_combined,immediate_cm_start_A,delayed_cm_start_A,immediate_cm_start_B,delayed_cm_start_B
SARS-CoV-2,rapid,Rapid Antigen Test (RAT),2,166964903.2837702,340051934.7189096,173087031.43513942,50.90017546237898,21,21,21,23
SARS-CoV-2,rapid,Rapid Antigen Test (RAT),5,356269719.71764076,1010527889.4781626,654258169.7605219,64.74419722333258,21,21,21,26
SARS-CoV-2,rapid,Rapid Antigen Test (RAT),10,557983563.9605733,2732093091.400338,2174109527.439765,79.576700160148,21,21,21,31
SARS-CoV-2,rapid,Rapid Antigen Test (RAT),14,653178432.5499061,4913438398.47372,4260259965.9238133,86.70628631972255,21,21,21,35
SARS-CoV-2,lab,Laboratory PCR,2,239892178.50591338,343479882.54886496,103587704.04295158,30.158303093111936,21,21,21,23
SARS-CoV-2,lab,Laboratory PCR,5,510963782.7184663,1020229240.7837353,509265458.065269,49.91676749767079,21,21,21,26
SARS-CoV-2,lab,Laboratory PCR,10,797964357.986517,2756384500.1918135,1958420142.2052965,71.0503248755394,21,21,21,31
SARS-CoV-2,lab,Laboratory PCR,14,931937669.2712963,4954642586.3596115,4022704917.088315,81.19061762725389,21,21,21,35
SARS-CoV-2,molecular,High-throughput molecular screening,2,241492178.50591385,345079882.5488643,103587704.04295045,30.01847087631431,21,21,21,23
SARS-CoV-2,molecular,High-throughput molecular screening,5,514963782.718466,1024229240.7837348,509265458.0652688,49.72182376628708,21,21,21,26
SARS-CoV-2,molecular,High-throughput molecular screening,10,805964357.9865174,2764384500.191813,1958420142.2052956,70.84470854432175,21,21,21,31
SARS-CoV-2,molecular,High-throughput molecular screening,14,943137669.2712979,4965842586.359615,4022704917.0883174,81.00749967665209,21,21,21,35
Mpox,rapid,Rapid Antigen Test (RAT),2,73389554.12442327,121401030.45615816,48011476.331734896,39.54783262657181,21,21,21,23
Mpox,rapid,Rapid Antigen Test (RAT),5,169317595.87671232,330813821.83824515,161496225.96153283,48.817859261182285,21,21,21,26
Mpox,rapid,Rapid Antigen Test (RAT),10,296940391.09391546,765219452.9974124,468279061.903497,61.19539434984548,21,21,21,31
Mpox,rapid,Rapid Antigen Test (RAT),14,375032091.28110194,1205582822.0500069,830550730.7689049,68.8920508469599,21,21,21,35
Mpox,lab,Laboratory PCR,2,103923812.0478614,125636726.96956223,21712914.921700835,17.282299089947784,21,21,21,23
Mpox,lab,Laboratory PCR,5,239437617.0532667,341432451.99984425,101994834.94657755,29.872624687305375,21,21,21,26
Mpox,lab,Laboratory PCR,10,418881392.9713505,786566729.26491,367685336.2935595,46.745599910789736,21,21,21,31
Mpox,lab,Laboratory PCR,14,527900914.5110088,1235607123.9260273,707706209.4150186,57.27598973097109,21,21,21,35
Mpox,molecular,High-throughput molecular screening,2,105523812.04786122,127236726.96956265,21712914.92170143,17.064974429038525,21,21,21,23
Mpox,molecular,High-throughput molecular screening,5,243437617.05326664,345432451.99984366,101994834.94657701,29.52670901534844,21,21,21,26
Mpox,molecular,High-throughput molecular screening,10,426881392.9713511,794566729.2649114,367685336.2935603,46.27494743376962,21,21,21,31
Mpox,molecular,High-throughput molecular screening,14,539100914.5110083,1246807123.926026,707706209.4150178,56.761482657120794,21,21,21,35
Norovirus,rapid,Rapid Antigen Test (RAT),2,19534323.06870106,49912601.79259136,30378278.723890305,60.86294369130527,21,21,21,23
Norovirus,rapid,Rapid Antigen Test (RAT),5,27438050.33492291,84235411.28720218,56797360.95227927,67.42694086056947,21,21,21,26
Norovirus,rapid,Rapid Antigen Test (RAT),10,29715395.62064311,105448978.19171429,75733582.57107118,71.8201199004335,21,21,21,31
Norovirus,rapid,Rapid Antigen Test (RAT),14,29633665.395737737,110667468.31972396,81033802.92398623,73.22278548007932,21,21,21,35
Norovirus,lab,Laboratory PCR,2,39816047.9397127,71695988.7791915,31879940.83947879,44.465445532332744,21,21,21,23
Norovirus,lab,Laboratory PCR,5,50139859.628953576,107900783.8552587,57760924.22630513,53.531514936710124,21,21,21,26
Norovirus,lab,Laboratory PCR,10,49429677.540860176,125436189.84063458,76006512.29977441,60.59376675610118,21,21,21,31
Norovirus,lab,Laboratory PCR,14,46033908.76829249,127196056.0611335,81162147.29284102,63.808698010127394,21,21,21,35
Norovirus,molecular,High-throughput molecular screening,2,41416047.939712554,73295988.77919096,31879940.839478403,43.49479605973916,21,21,21,23
Norovirus,molecular,High-throughput molecular screening,5,54139859.62895316,111900783.85525835,57760924.22630519,51.6179799964743,21,21,21,26
Norovirus,molecular,High-throughput molecular screening,10,57429677.54085997,133436189.84063351,76006512.29977354,56.96094319730666,21,21,21,31
Norovirus,molecular,High-throughput molecular screening,14,57233908.768292546,138396056.06113338,81162147.29284084,58.644841191853956,21,21,21,35
