scenario,avian_included,prob_scenario,lead_days,threat_class,p_event,p_warning,Bd_aus,Bd_base,ratio_Bd,ev_aus,ev_base,deaths_averted_aus,deaths_averted_base,pct_of_portfolio_ev_aus
A,False,low,2,SARS-like respiratory virus,0.005,0.05,1260188665.4041674,240136917.41750735,5.247792296813636,315047.1663510419,60034.22935437684,347.515716802362,66.22130191598262,49.209872941773384
A,False,low,2,Ebola-like viral haemorrhagic fever,0.001,0.05,1853823955.8264818,351801365.43947506,5.269518932965651,92691.1977913241,17590.068271973752,524.8118811080603,99.59392137991804,14.478219623309936
A,False,low,2,Mpox-like orthopoxvirus,0.005,0.05,555591899.0420732,105453196.17316249,5.268611281631971,138897.97476051832,26363.299043290623,156.02534319874258,29.614138187233756,21.69564566792095
A,False,low,2,High-burden enteric outbreak,0.02,0.05,93574959.19133198,40533645.990222424,2.308574935842294,93574.95919133199,40533.64599022242,11.45833178346566,4.901952291033176,14.61626176699573
A,False,low,5,SARS-like respiratory virus,0.005,0.05,2682579857.65178,512072967.3061444,5.238667199645381,670644.9644129451,128018.2418265361,739.9757245699767,141.2521832429569,50.75440072279854
A,False,low,5,Ebola-like viral haemorrhagic fever,0.001,0.05,4231810366.925002,803100113.2425077,5.269343506675793,211590.51834625012,40155.00566212539,1198.1512058815367,227.38157361756018,16.013167215369826
A,False,low,5,Mpox-like orthopoxvirus,0.005,0.05,1281600608.443003,243274658.64189813,5.268122111845309,320400.1521107507,60818.66466047453,360.0251640028092,68.34031811474293,24.24787864635573
A,False,low,5,High-burden enteric outbreak,0.02,0.05,118717695.80133069,52976298.698916554,2.24095866863116,118717.69580133069,52976.29869891656,14.847929111289943,6.463851949066473,8.984553415475895
A,False,low,10,SARS-like respiratory virus,0.005,0.05,4191289749.78594,801437536.7310243,5.229714803329216,1047822.437446485,200359.38418275607,1156.7805502732426,221.1917080288843,49.95892905661774
A,False,low,10,Ebola-like viral haemorrhagic fever,0.001,0.05,7305318647.176246,1386435750.2052023,5.269136089497842,365265.9323588123,69321.78751026012,2068.78958474067,392.6241918663443,17.415445737145927
A,False,low,10,Mpox-like orthopoxvirus,0.005,0.05,2247106348.7031727,426595472.0427035,5.267534458214387,561776.5871757931,106648.86801067588,631.6261930410758,119.90919447050297,26.78484031395603
A,False,low,10,High-burden enteric outbreak,0.02,0.05,122502735.30671442,56175592.903420955,2.1807110343690614,122502.73530671441,56175.592903420955,15.932307232214711,6.966731638186481,5.840784892280317
A,False,low,14,SARS-like respiratory virus,0.005,0.05,4901191271.865335,937837818.2255151,5.226054203208492,1225297.8179663338,234459.4545563788,1353.381998583548,258.964418396031,48.80320419955053
A,False,low,14,Ebola-like viral haemorrhagic fever,0.001,0.05,9126424725.858047,1732088540.6025465,5.269028985483163,456321.2362929024,86604.42703012732,2584.9889987525617,490.60080317059226,18.175122936524932
A,False,low,14,Mpox-like orthopoxvirus,0.005,0.05,2837663747.0304213,538739647.234667,5.267226500956551,709415.9367576053,134684.91180866674,798.0373211312984,151.50981231676363,28.25580060320331
A,False,low,14,High-burden enteric outbreak,0.02,0.05,119656341.78220177,55967073.64774212,2.137977456804713,119656.34178220177,55967.07364774212,16.096324029604304,7.037563658567738,4.765872260721231
A,False,base,2,SARS-like respiratory virus,0.02,0.2,1260188665.4041674,240136917.41750735,5.247792296813636,5040754.66161667,960547.6696700294,347.515716802362,66.22130191598262,45.873228462252754
A,False,base,2,Ebola-like viral haemorrhagic fever,0.005,0.2,1853823955.8264818,351801365.43947506,5.269518932965651,1853823.9558264818,351801.36543947505,524.8118811080603,99.59392137991804,16.870666311530236
A,False,base,2,Mpox-like orthopoxvirus,0.02,0.2,555591899.0420732,105453196.17316249,5.268611281631971,2222367.596168293,421812.78469264996,156.02534319874258,29.614138187233756,20.224586060976648
A,False,base,2,High-burden enteric outbreak,0.1,0.2,93574959.19133198,40533645.990222424,2.308574935842294,1871499.18382664,810672.9198044486,11.45833178346566,4.901952291033176,17.03151916524036
A,False,base,5,SARS-like respiratory virus,0.02,0.2,2682579857.65178,512072967.3061444,5.238667199645381,10730319.430607121,2048291.8692245777,739.9757245699767,141.2521832429569,47.76910393539166
A,False,base,5,Ebola-like viral haemorrhagic fever,0.005,0.2,4231810366.925002,803100113.2425077,5.269343506675793,4231810.366925002,803100.1132425077,1198.1512058815367,227.38157361756018,18.839121291757362
A,False,base,5,Mpox-like orthopoxvirus,0.02,0.2,1281600608.443003,243274658.64189813,5.268122111845309,5126402.433772012,973098.6345675925,360.0251640028092,68.34031811474293,22.82165524122188
A,False,base,5,High-burden enteric outbreak,0.1,0.2,118717695.80133069,52976298.698916554,2.24095866863116,2374353.916026614,1059525.9739783313,14.847929111289943,6.463851949066473,10.570119531629095
