scenario,avian_included,prob_scenario,lead_days,threat_class,p_event,p_warning,Bd_us,Bd_base,ratio_Bd,ev_us,ev_base,deaths_averted_us,deaths_averted_base,pct_of_portfolio_ev_us,portfolio_view
A_screening_only,False,low,2,SARS-like respiratory virus,0.005,0.05,7208721180.625837,240136917.41750735,30.01921261482921,1802180.2951564593,60034.22935437684,1987.9112833678712,66.22130191598262,39.44323397054955,A_screening_only_without_avian
A_screening_only,False,low,2,Ebola-like viral haemorrhagic fever,0.001,0.05,10554186674.895939,351801365.43947506,30.000414187453494,527709.3337447969,17590.068271973752,2987.8590410958714,99.59392137991804,11.549656144437977,A_screening_only_without_avian
A_screening_only,False,low,2,Mpox-like orthopoxvirus,0.005,0.05,3163721997.596113,105453196.17316249,30.001195908761566,790930.4993990284,26363.299043290623,888.4595953531307,29.614138187233756,17.31061915729751,A_screening_only_without_avian
A_screening_only,False,low,2,High-burden enteric outbreak,0.02,0.05,1448227877.504879,40533645.990222424,35.7290305899011,1448227.8775048791,40533.64599022242,174.8680917801579,4.901952291033176,31.696490727714966,A_screening_only_without_avian
A_screening_only,False,low,5,SARS-like respiratory virus,0.005,0.05,15376104197.0831,512072967.3061444,30.027174209120957,3844026.0492707747,128018.2418265361,4241.401743433187,141.2521832429569,43.78847968911475,A_screening_only_without_avian
A_screening_only,False,low,5,Ebola-like viral haemorrhagic fever,0.001,0.05,24093457353.387283,803100113.2425077,30.000565254698095,1204672.8676693642,40155.00566212539,6821.576092350386,227.38157361756018,13.722798108502564,A_screening_only_without_avian
A_screening_only,False,low,5,Mpox-like orthopoxvirus,0.005,0.05,7298633230.114721,243274658.64189813,30.001617393525386,1824658.3075286804,60818.66466047453,2050.3200569654364,68.34031811474293,20.78524240332639,A_screening_only_without_avian
A_screening_only,False,low,5,High-burden enteric outbreak,0.02,0.05,1905266917.2283173,52976298.698916554,35.96451552904134,1905266.9172283174,52976.29869891656,231.75554922550896,6.463851949066473,21.703479799056296,A_screening_only_without_avian
A_screening_only,False,low,10,SARS-like respiratory virus,0.005,0.05,24071200191.34854,801437536.7310243,30.03502966623241,6017800.047837135,200359.38418275607,6643.490041134066,221.1917080288843,45.158245458816445,A_screening_only_without_avian
A_screening_only,False,low,10,Ebola-like viral haemorrhagic fever,0.001,0.05,41594103871.68938,1386435750.2052023,30.00074389709956,2079705.193584469,69321.78751026012,11779.018443196537,392.6241918663443,15.606340667237228,A_screening_only_without_avian
A_screening_only,False,low,10,Mpox-like orthopoxvirus,0.005,0.05,12798770222.608719,426595472.0427035,30.002123935641592,3199692.5556521798,106648.86801067588,3597.530187209947,119.90919447050297,24.01085125332821,A_screening_only_without_avian
A_screening_only,False,low,10,High-burden enteric outbreak,0.02,0.05,2028829347.4601345,56175592.903420955,36.11585107696449,2028829.3474601347,56175.592903420955,250.14515752394777,6.966731638186481,15.224562620618116,A_screening_only_without_avian
A_screening_only,False,low,14,SARS-like respiratory virus,0.005,0.05,28171013575.432796,937837818.2255151,30.038257178341592,7042753.393858199,234459.4545563788,7778.8225974114175,258.964418396031,44.83522768817501,A_screening_only_without_avian
