scenario,avian_included,prob_scenario,lead_days,n_total_aus,N_downstream_aus,n_total_base,N_downstream_base,portfolio_ev_aus,portfolio_ev_base,ratio_ev,cost_per_flight_aus,cost_per_flight_base,deaths_averted_aus,deaths_averted_base,flights_per_year_aus,flights_per_year_base,vsl,horizon_days
A,False,low,2,52700,27100000,10000,10000000,640211.2980942163,144521.24265986364,4.42987678704769,8.320699983028986,9.898715250675592,0.16358419083914486,0.03384050838583317,76942.0,14600.0,3500000,365
A,False,low,5,52700,27100000,10000,10000000,1321353.3306712767,281968.2108480526,4.686178369884857,17.173368650038686,19.312891153976203,0.3497557115485633,0.07023105596936945,76942.0,14600.0,3500000,365
A,False,low,10,52700,27100000,10000,10000000,2097367.6922878046,432505.63260711305,4.849341914104151,27.25907426747166,29.62367346624062,0.5664734722978279,0.11187316685635051,76942.0,14600.0,3500000,365
A,False,low,14,52700,27100000,10000,10000000,2510691.332799043,511715.867042915,4.906416811555472,32.63096011020045,35.04903198924075,0.683200603895944,0.134186161495296,76942.0,14600.0,3500000,365
A,False,base,2,52700,27100000,10000,10000000,10988445.397438085,2544834.739606603,4.317940660907808,142.81465776088592,174.3037492881235,2.7681427567817924,0.580974727613447,76942.0,14600.0,3500000,365
A,False,base,5,52700,27100000,10000,10000000,22462886.14733075,4884016.591013009,4.599264914182377,291.94570127278666,334.5216843159595,5.89511334239848,1.1950286180296892,76942.0,14600.0,3500000,365
A,False,base,10,52700,27100000,10000,10000000,35508957.747266985,7422079.643368533,4.784232917655831,461.5029209959058,508.3616194088036,9.541062702642238,1.896362434627623,76942.0,14600.0,3500000,365
A,False,base,14,52700,27100000,10000,10000000,42474971.63708511,8757739.875398118,4.849992377189011,552.0388297299928,599.8451969450766,11.512592758204034,2.2732489991931257,76942.0,14600.0,3500000,365
A,False,high,2,52700,27100000,10000,10000000,60503698.85466988,13779577.794351442,4.390823852344133,786.3546418688087,943.8066982432495,15.415149427233144,3.20365540220699,76942.0,14600.0,3500000,365
A,False,high,5,52700,27100000,10000,10000000,125009861.83742875,26829383.29479257,4.659438514253604,1624.7285206704887,1837.6289927940118,33.07002032963701,6.657287811001127,76942.0,14600.0,3500000,365
A,False,high,10,52700,27100000,10000,10000000,199460744.6778637,41269705.46745828,4.833103178677667,2592.3519622295194,2826.6921553053617,53.911682267433214,10.659684748737149,76942.0,14600.0,3500000,365
A,False,high,14,52700,27100000,10000,10000000,239754132.36299974,48984964.99879823,4.89444327190765,3116.0371755738056,3355.134588958783,65.31793078727786,12.838047405477406,76942.0,14600.0,3500000,365
A,True,low,2,52700,27100000,10000,10000000,1826948.3015957,378768.609428028,4.823388887359339,23.744486776996958,25.94305544027589,0.4977308562556791,0.09980096224563276,76942.0,14600.0,3500000,365
A,True,low,5,52700,27100000,10000,10000000,3420206.6434082007,700883.7013770933,4.879849020155831,44.45175123350317,48.00573297103379,0.9407288654267648,0.18819341132377918,76942.0,14600.0,3500000,365
A,True,low,10,52700,27100000,10000,10000000,4756327.726882632,966736.6564924779,4.919982804975639,61.81705345432445,66.21483948578616,1.315204624712997,0.2623174423607018,76942.0,14600.0,3500000,365
A,True,low,14,52700,27100000,10000,10000000,5309019.335308748,1074841.057478578,4.939352938157146,69.00027729080018,73.61925051223137,1.4712339193958146,0.2927784785489102,76942.0,14600.0,3500000,365
A,True,base,2,52700,27100000,10000,10000000,40656870.48497518,8401018.908810712,4.839516602246377,528.4093276100853,575.412254028131,11.121809392195148,2.2299860741084374,76942.0,14600.0,3500000,365
A,True,base,5,52700,27100000,10000,10000000,74934218.96575385,15356903.854239026,4.879513453818327,973.9052658593987,1051.8427297423991,20.669442189353514,4.144087501889931,76942.0,14600.0,3500000,365
A,True,base,10,52700,27100000,10000,10000000,101982958.61213765,20777855.24050265,4.9082524366297635,1325.4524006672252,1423.140769897442,28.259341513021464,5.657469322236404,76942.0,14600.0,3500000,365
A,True,base,14,52700,27100000,10000,10000000,112433171.69982772,22835869.636289693,4.923533611400294,1461.271759244986,1564.100660019842,31.213425645700795,6.23805692553348,76942.0,14600.0,3500000,365
A,True,high,2,52700,27100000,10000,10000000,268182674.46742952,54772866.97878019,4.8962687049288,3485.517330813204,3751.5662314233005,73.89081587512663,14.746734827671917,76942.0,14600.0,3500000,365
A,True,high,5,52700,27100000,10000,10000000,492309191.5663905,100139594.13737468,4.916229147993401,6398.445472776773,6858.876310779088,136.49032225832227,27.300699998022825,76942.0,14600.0,3500000,365
A,True,high,10,52700,27100000,10000,10000000,664778750.7319584,134760134.64739713,4.933051992500354,8639.998319928756,9230.146208725831,184.9396339400878,36.98743296199862,76942.0,14600.0,3500000,365
A,True,high,14,52700,27100000,10000,10000000,729461532.8021979,147531873.32503927,4.944433472996462,9480.667682178757,10104.92283048214,203.22376099975517,40.59170288985989,76942.0,14600.0,3500000,365
B,False,low,2,52700,27100000,10000,10000000,891234.278526187,211030.70635115122,4.22324454074086,11.583196154586402,14.454157969256933,0.22274753068221156,0.04735571248053933,76942.0,14600.0,3500000,365
B,False,low,5,52700,27100000,10000,10000000,2329171.4796812106,510151.48592644493,4.565646761669997,30.2717823773909,34.94188259770171,0.6112209682190246,0.12453970869046319,76942.0,14600.0,3500000,365
B,False,low,10,52700,27100000,10000,10000000,5595226.555374781,1156870.5571946895,4.836519108017338,72.72005608607498,79.23770939689655,1.512734090692455,0.30079253512985504,76942.0,14600.0,3500000,365
B,False,low,14,52700,27100000,10000,10000000,9366882.148549803,1906475.0627342567,4.913194162170613,121.73952000922516,130.5804837489217,2.5583212706188467,0.507969935946762,76942.0,14600.0,3500000,365
B,False,base,2,52700,27100000,10000,10000000,15355468.748840613,3750318.2456183694,4.094444189311388,199.57199902316827,256.87111271358697,3.770940582761906,0.8168372801068602,76942.0,14600.0,3500000,365
B,False,base,5,52700,27100000,10000,10000000,39449648.97039153,8839343.082508229,4.462961625333519,512.7193076654041,605.4344577060431,10.249015201292803,2.113189135699879,76942.0,14600.0,3500000,365
B,False,base,10,52700,27100000,10000,10000000,93549829.08508894,19594490.31608245,4.774292547344628,1215.8486793310408,1342.0883778138666,25.17481803366997,5.035367447059767,76942.0,14600.0,3500000,365
B,False,base,14,52700,27100000,10000,10000000,155699495.7687299,31945522.67160164,4.873906661954255,2023.595640465934,2188.0494980549065,42.41310256101685,8.448631225172738,76942.0,14600.0,3500000,365
B,False,high,2,52700,27100000,10000,10000000,83643213.338542,20054543.99555011,4.1707861000031485,1087.094348191391,1373.5989038048021,20.798187050199573,4.453006243210492,76942.0,14600.0,3500000,365
B,False,high,5,52700,27100000,10000,10000000,216125884.28873146,47779403.88930854,4.523411066187314,2808.945495161699,3272.5619102266123,56.58882582866932,11.580108463627093,76942.0,14600.0,3500000,365
B,False,high,10,52700,27100000,10000,10000000,512181121.43047804,106406179.61600707,4.813452783276403,6656.717026207767,7288.09449424706,138.45288567032833,27.564446788220803,76942.0,14600.0,3500000,365
B,False,high,14,52700,27100000,10000,10000000,849629495.3339621,173231446.10305297,4.9045915995444,11042.46699246136,11865.167541304998,232.20568504704772,46.06660697669377,76942.0,14600.0,3500000,365
B,True,low,2,52700,27100000,10000,10000000,3327627.180511559,699329.7741470748,4.758309031772658,43.24851421215408,47.89929959911471,0.908787462973109,0.1848624424074008,76942.0,14600.0,3500000,365
B,True,low,5,52700,27100000,10000,10000000,10353111.357308473,2220900.9182880144,4.661671879216111,134.55734653776187,152.1165012526037,2.8705243152936455,0.6063065193518692,76942.0,14600.0,3500000,365
B,True,low,10,52700,27100000,10000,10000000,28875135.144350726,6844562.547394739,4.218696950229717,375.2844369050808,468.80565393114654,8.067335862757258,1.902508270879495,76942.0,14600.0,3500000,365
B,True,low,14,52700,27100000,10000,10000000,48497784.16230229,12681406.907638354,3.824322057916994,630.31613634039,868.5895142218051,13.57599112813962,3.5423030963655635,76942.0,14600.0,3500000,365
B,True,base,2,52700,27100000,10000,10000000,76265291.29847492,15957794.94051646,4.779187323985419,991.2049504623602,1092.9996534600316,20.921938890034337,4.254505528278398,76942.0,14600.0,3500000,365
B,True,base,5,52700,27100000,10000,10000000,240048145.91107306,51608078.891547464,4.651367597223017,3119.858411674678,3534.7999240785934,66.73159887815831,14.157359402235027,76942.0,14600.0,3500000,365
B,True,base,10,52700,27100000,10000,10000000,675547543.8094876,161786790.0710837,4.175542042169664,8779.958199806186,11081.286991170116,189.03986233529008,45.07826084080075,76942.0,14600.0,3500000,365
B,True,base,14,52700,27100000,10000,10000000,1133972046.1125422,301318818.79420406,3.76336284155895,14738.011048745057,20638.27525987699,317.85484899903616,84.30696023564278,76942.0,14600.0,3500000,365
