scenario,avian_included,prob_scenario,lead_days,n_total_us,N_downstream_us,n_total_base,N_downstream_base,portfolio_ev_us,portfolio_ev_base,ratio_ev,cost_per_flight_us,cost_per_flight_base,deaths_averted_us,deaths_averted_base,flights_per_year_us,flights_per_year_base,vsl,horizon_days,portfolio_view
A_screening_only,False,low,2,300000,350000000,10000,10000000,4569048.005805164,144521.24265986364,31.61506171489679,10.431616451609962,9.898715250675592,1.043353763515202,0.03384050838583317,438000.0,14600.0,3500000,365,A_screening_only_without_avian
A_screening_only,False,low,5,300000,350000000,10000,10000000,8778624.141697137,281968.2108480526,31.13338243092862,20.04252087145465,19.312891153976203,2.145764803942684,0.07023105596936945,438000.0,14600.0,3500000,365,A_screening_only_without_avian
A_screening_only,False,low,10,300000,350000000,10000,10000000,13326027.14453392,432505.63260711305,30.811222189652376,30.424719508068307,29.62367346624062,3.3993511367697784,0.11187316685635051,438000.0,14600.0,3500000,365,A_screening_only_without_avian
A_screening_only,False,low,14,300000,350000000,10000,10000000,15708079.911715666,511715.867042915,30.69687872390775,35.86319614546956,35.04903198924075,4.069751935149139,0.134186161495296,438000.0,14600.0,3500000,365,A_screening_only_without_avian
A_screening_only,False,base,2,300000,350000000,10000,10000000,81008516.93788132,2544834.739606603,31.83252557704558,184.95095191297105,174.3037492881235,17.990704391583037,0.580974727613447,438000.0,14600.0,3500000,365,A_screening_only_without_avian
A_screening_only,False,base,5,300000,350000000,10000,10000000,152897745.40674493,4884016.591013009,31.305738331865893,349.08161051768246,334.5216843159595,36.62357427845506,1.1950286180296892,438000.0,14600.0,3500000,365,A_screening_only_without_avian
A_screening_only,False,base,10,300000,350000000,10000,10000000,229650572.4767211,7422079.643368533,30.94153977206495,524.3163755176281,508.3616194088036,57.74600250705155,1.896362434627623,438000.0,14600.0,3500000,365,A_screening_only_without_avian
A_screening_only,False,base,14,300000,350000000,10000,10000000,269827107.9285016,8757739.875398118,30.81013044090163,616.0436254075379,599.8451969450766,69.07056041274787,2.2732489991931257,438000.0,14600.0,3500000,365,A_screening_only_without_avian
A_screening_only,False,high,2,300000,350000000,10000,10000000,436705144.7140944,13779577.794351442,31.692200677811016,997.0437093929096,943.8066982432495,98.9170990812028,3.20365540220699,438000.0,14600.0,3500000,365,A_screening_only_without_avian
A_screening_only,False,high,5,300000,350000000,10000,10000000,836769099.0938865,26829383.29479257,31.188532732927133,1910.431733091065,1837.6289927940118,203.5825996693265,6.657287811001127,438000.0,14600.0,3500000,365,A_screening_only_without_avian
A_screening_only,False,high,10,300000,350000000,10000,10000000,1273035173.998674,41269705.46745828,30.8467230279237,2906.4729999969722,2826.6921553053617,324.06706786484744,10.659684748737149,438000.0,14600.0,3500000,365,A_screening_only_without_avian
A_screening_only,False,high,14,300000,350000000,10000,10000000,1505027853.1744072,48984964.99879823,30.724281485376803,3436.1366510831217,3355.134588958783,389.5081072080662,12.838047405477406,438000.0,14600.0,3500000,365,A_screening_only_without_avian
A_screening_only,True,low,2,300000,350000000,10000,10000000,11639902.319155833,378768.609428028,30.730905437842512,26.57511945012747,25.94305544027589,3.034417027242665,0.09980096224563276,438000.0,14600.0,3500000,365,A_screening_only_with_avian
A_screening_only,True,low,5,300000,350000000,10000,10000000,21446884.790953092,700883.7013770933,30.599776751569973,48.96549039030386,48.00573297103379,5.713061376451974,0.18819341132377918,438000.0,14600.0,3500000,365,A_screening_only_with_avian
A_screening_only,True,low,10,300000,350000000,10000,10000000,29499436.907811567,966736.6564924779,30.51444952428066,67.35031257491225,66.21483948578616,7.953987008231853,0.2623174423607018,438000.0,14600.0,3500000,365,A_screening_only_with_avian
A_screening_only,True,low,14,300000,350000000,10000,10000000,32760822.892387632,1074841.057478578,30.479690615131315,74.79639929768865,73.61925051223137,8.872356037873894,0.2927784785489102,438000.0,14600.0,3500000,365,A_screening_only_with_avian
A_screening_only,True,base,2,300000,350000000,10000,10000000,257779874.771648,8401018.908810712,30.684358358162594,588.5385268759087,575.412254028131,67.76728598476961,2.2299860741084374,438000.0,14600.0,3500000,365,A_screening_only_with_avian
A_screening_only,True,base,5,300000,350000000,10000,10000000,469604261.6381437,15356903.854239026,30.579358059112742,1072.1558484889126,1051.8427297423991,125.80598859118729,4.144087501889931,438000.0,14600.0,3500000,365,A_screening_only_with_avian
A_screening_only,True,base,10,300000,350000000,10000,10000000,633985816.5586623,20777855.24050265,30.512572602913423,1447.4562021887266,1423.140769897442,171.61189929360344,5.657469322236404,438000.0,14600.0,3500000,365,A_screening_only_with_avian
A_screening_only,True,base,14,300000,350000000,10000,10000000,696145682.4453008,22835869.636289693,30.484745863981406,1589.3737042130156,1564.100660019842,189.13566298086673,6.23805692553348,438000.0,14600.0,3500000,365,A_screening_only_with_avian
