scenario,avian_included,prob_scenario,lead_days,threat_class,representative_pathogen,panel_target,avian_influenza,avian_influenza_label,probability_note,annual_event_probability,useful_warning_probability_given_event,combined_prob,conditional_Bd,expected_annual_contribution,expected_deaths_averted_per_year,expected_infections_averted_per_year,cost_per_arriving_flight_contribution,pct_of_portfolio_ev,portfolio_view
A_screening_only,False,low,2,SARS-like respiratory virus,SARS-CoV-2,sarbecovirus/coronavirus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.005,0.05,0.00025,241492178.50591385,60373.04462647846,0.016555325478995655,2.207376730532682,4.135140042909484,41.39623493020416,A_screening_only_without_avian
A_screening_only,False,low,2,Ebola-like viral haemorrhagic fever,Ebola,filovirus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.001,0.05,5e-05,353436560.6499882,17671.82803249941,0.004979696068995902,0.00962260109950864,1.2103991803081786,12.117115335254608,A_screening_only_without_avian
A_screening_only,False,low,2,Mpox-like orthopoxvirus,Mpox,orthopoxvirus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.005,0.05,0.00025,105523812.04786122,26380.953011965306,0.0074035345468084395,0.14956635448097816,1.8069145898606374,18.088737040222597,A_screening_only_without_avian
A_screening_only,False,low,2,High-burden enteric outbreak,Norovirus,enteric virus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.02,0.05,0.001,41416047.939712554,41416.04793971255,0.004901952291033176,1089.3227313407074,2.836715612309079,28.397912694318645,A_screening_only_without_avian
A_screening_only,False,low,5,SARS-like respiratory virus,SARS-CoV-2,sarbecovirus/coronavirus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.005,0.05,0.00025,514963782.718466,128740.9456796165,0.03531304581073923,4.708406108098493,8.817872991754555,45.318253452442924,A_screening_only_without_avian
A_screening_only,False,low,5,Ebola-like viral haemorrhagic fever,Ebola,filovirus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.001,0.05,5e-05,806833377.1732329,40341.66885866165,0.01136907868087801,0.021969234165948356,2.763128004017921,14.20071884962713,A_screening_only_without_avian
A_screening_only,False,low,5,Mpox-like orthopoxvirus,Mpox,orthopoxvirus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.005,0.05,0.00025,243437617.05326664,60859.40426331666,0.017085079528685734,0.34515312179163105,4.168452346802511,21.423191299474425,A_screening_only_without_avian
A_screening_only,False,low,5,High-burden enteric outbreak,Norovirus,enteric virus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.02,0.05,0.001,54139859.62895316,54139.85962895316,0.0064638519490664735,1436.4115442369916,3.708209563626929,19.05783639845553,A_screening_only_without_avian
A_screening_only,False,low,10,SARS-like respiratory virus,SARS-CoV-2,sarbecovirus/coronavirus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.005,0.05,0.00025,805964357.9865174,201491.08949662937,0.055297927007221075,7.373056934296362,13.800759554563655,46.28944043484817,A_screening_only_without_avian
A_screening_only,False,low,10,Ebola-like viral haemorrhagic fever,Ebola,filovirus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.001,0.05,5e-05,1392881958.856351,69644.09794281755,0.019631209593317215,0.037934704528149774,4.770143694713531,15.999647088198971,A_screening_only_without_avian
A_screening_only,False,low,10,Mpox-like orthopoxvirus,Mpox,orthopoxvirus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.005,0.05,0.00025,426881392.9713511,106720.34824283778,0.02997729861762574,0.605601992275268,7.3096128933450535,24.51733828783397,A_screening_only_without_avian
A_screening_only,False,low,10,High-burden enteric outbreak,Norovirus,enteric virus broad panel,False,,UNSOURCED SCENARIO ASSUMPTION,0.02,0.05,0.001,57429677.54085997,57429.67754085997,0.0069667316381864805,1548.162586263664,3.9335395575931487,13.193574189118898,A_screening_only_without_avian
