pathogen,prevalence_tier,modality,pre_icu_cost,post_icu_cost,delta_cost,pct_change,pre_icu_rank,post_icu_rank,rank_change
SARS-CoV-2,0.5x,No screening,1377870324.32,1385633681.63,7763357.31,0.5634,4,4,0
SARS-CoV-2,0.5x,RAT,494289249.49,496820393.81,2531144.32,0.5121,3,3,0
SARS-CoV-2,0.5x,Lab PCR,401942844.37,402176816.03,233971.66,0.0582,2,2,0
SARS-CoV-2,0.5x,Sentinel RT-LAMP,113609515.88,113843487.54,233971.66,0.2059,1,1,0
SARS-CoV-2,1x,No screening,2742892148.57,2758346470.67,15454322.1,0.5634,4,4,0
SARS-CoV-2,1x,RAT,942145964.49,947200475.22,5054510.73,0.5365,3,3,0
SARS-CoV-2,1x,Lab PCR,443457176.81,443925053.35,467876.54,0.1055,2,2,0
SARS-CoV-2,1x,Sentinel RT-LAMP,155123848.32,155591724.86,467876.54,0.3016,1,1,0
SARS-CoV-2,2x,No screening,5435649016.29,5466275182.46,30626166.17,0.5634,4,4,0
SARS-CoV-2,2x,RAT,1833763340.03,1843841505.13,10078165.1,0.5496,3,3,0
SARS-CoV-2,2x,Lab PCR,526450324.1,527385810.28,935486.19,0.1777,2,2,0
SARS-CoV-2,2x,Sentinel RT-LAMP,238116995.61,239052481.8,935486.19,0.3929,1,1,0
Influenza A/B,0.5x,No screening,157263848.87,159588057.4,2324208.54,1.4779,3,3,0
Influenza A/B,0.5x,RAT,96286999.81,97044202.65,757202.83,0.7864,2,2,0
Influenza A/B,0.5x,Lab PCR,365151081.69,365221051.88,69970.19,0.0192,4,4,0
Influenza A/B,0.5x,Sentinel RT-LAMP,76817753.2,76887723.4,69970.19,0.0911,1,1,0
Influenza A/B,1x,No screening,313409133.91,318041019.68,4631885.78,1.4779,3,3,0
Influenza A/B,1x,RAT,147402049.55,148914683.69,1512634.14,1.0262,2,2,0
Influenza A/B,1x,Lab PCR,369884474.89,370024400.09,139925.2,0.0378,4,4,0
Influenza A/B,1x,Sentinel RT-LAMP,81551146.41,81691071.6,139925.2,0.1716,1,1,0
Influenza A/B,2x,No screening,622437419.31,631636446.13,9199026.82,1.4779,4,4,0
Influenza A/B,2x,RAT,249275879.97,252294111.41,3018231.44,1.2108,2,2,0
Influenza A/B,2x,Lab PCR,379348180.32,379627969.99,279789.67,0.0738,3,3,0
Influenza A/B,2x,Sentinel RT-LAMP,91014851.84,91294641.5,279789.67,0.3074,1,1,0
Mpox,0.5x,No screening,1993950469.79,1995280656.9,1330187.1,0.0667,4,4,0
Mpox,0.5x,RAT,693327215.96,693759687.7,432471.74,0.0624,3,3,0
Mpox,0.5x,Lab PCR,420267185.0,420307111.97,39926.97,0.0095,2,2,0
Mpox,0.5x,Sentinel RT-LAMP,131933856.52,131973783.49,39926.97,0.0303,1,1,0
Mpox,1x,No screening,3985706025.82,3988364935.78,2658909.96,0.0667,4,4,0
Mpox,1x,RAT,1341369957.13,1342234745.57,864788.44,0.0645,3,3,0
Mpox,1x,Lab PCR,480115727.19,480195579.8,79852.61,0.0166,2,2,0
Mpox,1x,Sentinel RT-LAMP,191782398.7,191862251.31,79852.61,0.0416,1,1,0
Mpox,2x,No screening,7962663334.01,7967975317.56,5311983.55,0.0667,4,4,0
Mpox,2x,RAT,2636759331.88,2638488289.35,1728957.47,0.0656,3,3,0
Mpox,2x,Lab PCR,599806865.73,599966565.67,159699.94,0.0266,2,2,0
Mpox,2x,Sentinel RT-LAMP,311473537.25,311633237.18,159699.94,0.0513,1,1,0
Norovirus,0.5x,No screening,154355480.3,157682903.83,3327423.53,2.1557,3,3,0
Norovirus,0.5x,RAT,140810415.88,142874667.38,2064251.5,1.466,2,2,0
Norovirus,0.5x,Lab PCR,376811959.83,377165391.43,353431.6,0.0938,4,4,0
Norovirus,0.5x,Sentinel RT-LAMP,88478631.35,88832062.95,353431.6,0.3995,1,1,0
Norovirus,1x,No screening,186785527.56,190812041.92,4026514.37,2.1557,3,3,0
Norovirus,1x,RAT,177151371.37,179999020.71,2847649.34,1.6075,2,2,0
Norovirus,1x,Lab PCR,390304546.64,390948836.4,644289.76,0.1651,4,4,0
Norovirus,1x,Sentinel RT-LAMP,101971218.15,102615507.91,644289.76,0.6318,1,1,0
Norovirus,2x,No screening,213562746.36,218166494.19,4603747.83,2.1557,3,3,0
Norovirus,2x,RAT,212283316.04,215888300.72,3604984.67,1.6982,2,2,0
Norovirus,2x,Lab PCR,411613034.99,412716669.4,1103634.42,0.2681,4,4,0
Norovirus,2x,Sentinel RT-LAMP,123279706.5,124383340.92,1103634.42,0.8952,1,1,0
Ebola,0.5x,No screening,5641625056.34,5667817908.43,26192852.09,0.4643,4,4,0
Ebola,0.5x,RAT,1878813300.28,1887327059.32,8513759.04,0.4531,3,3,0
Ebola,0.5x,Lab PCR,529696333.08,530482262.21,785929.12,0.1484,2,2,0
Ebola,0.5x,Sentinel RT-LAMP,241363004.6,242148933.72,785929.12,0.3256,1,1,0
Ebola,1x,No screening,11281126602.81,11333502448.0,52375845.18,0.4643,4,4,0
Ebola,1x,RAT,3712350045.39,3729376521.3,17026475.91,0.4586,3,3,0
Ebola,1x,Lab PCR,698974092.19,700545941.55,1571849.36,0.2249,2,2,0
Ebola,1x,Sentinel RT-LAMP,410640763.7,412212613.06,1571849.36,0.3828,1,1,0
Ebola,2x,No screening,22553769072.97,22658481373.33,104712300.37,0.4643,4,4,0
Ebola,2x,RAT,7378750458.52,7412799243.22,34048784.69,0.4614,3,3,0
Ebola,2x,Lab PCR,1037523870.76,1040667533.95,3143663.19,0.303,2,2,0
Ebola,2x,Sentinel RT-LAMP,749190542.27,752334205.46,3143663.19,0.4196,1,1,0
Diphtheria,0.5x,No screening,304566532.75,304566532.75,0.0,0.0,3,3,0
Diphtheria,0.5x,RAT,144086453.21,144086453.21,0.0,0.0,2,2,0
Diphtheria,0.5x,Lab PCR,369560323.63,369560323.63,0.0,0.0,4,4,0
Diphtheria,0.5x,Sentinel RT-LAMP,81226995.15,81226995.15,0.0,0.0,1,1,0
Diphtheria,1x,No screening,608675643.62,608675643.62,0.0,0.0,4,4,0
Diphtheria,1x,RAT,243072422.46,243072422.46,0.0,0.0,2,2,0
Diphtheria,1x,Lab PCR,378703573.92,378703573.92,0.0,0.0,3,3,0
Diphtheria,1x,Sentinel RT-LAMP,90370245.43,90370245.43,0.0,0.0,1,1,0
Diphtheria,2x,No screening,1215526419.3,1215526419.3,0.0,0.0,4,4,0
Diphtheria,2x,RAT,440899322.92,440899322.92,0.0,0.0,3,3,0
Diphtheria,2x,Lab PCR,396988836.42,396988836.42,0.0,0.0,2,2,0
Diphtheria,2x,Sentinel RT-LAMP,108655507.93,108655507.93,0.0,0.0,1,1,0
