pathogen,pathogen_type,seed,n_iter,strategy,prob_cost_minimising,mc_standard_error,icu_fraction,test_cost_draws_propagated
Influenza A/B,PRIMARY,20260812,1000,No systematic screening,0.007,0.0026364749192814255,0.17,True
Influenza A/B,PRIMARY,20260812,1000,Rapid Antigen Test (RAT),0.061,0.007568289106528635,0.17,True
Influenza A/B,PRIMARY,20260812,1000,Laboratory PCR,0.001,0.0009994998749374609,0.17,True
Influenza A/B,PRIMARY,20260812,1000,High-throughput molecular screening,0.931,0.008014923580421711,0.17,True
Influenza A/B,PRIMARY,20260812,5000,No systematic screening,0.0042,0.0009145884320283086,0.17,True
Influenza A/B,PRIMARY,20260812,5000,Rapid Antigen Test (RAT),0.0612,0.0033898247742324378,0.17,True
Influenza A/B,PRIMARY,20260812,5000,Laboratory PCR,0.0002,0.00019997999899989998,0.17,True
Influenza A/B,PRIMARY,20260812,5000,High-throughput molecular screening,0.9344,0.003501332317847022,0.17,True
Influenza A/B,PRIMARY,20260812,10000,No systematic screening,0.0037,0.0006071498991188255,0.17,True
Influenza A/B,PRIMARY,20260812,10000,Rapid Antigen Test (RAT),0.0633,0.0024350176590735434,0.17,True
Influenza A/B,PRIMARY,20260812,10000,Laboratory PCR,0.0001,9.999499987499375e-05,0.17,True
Influenza A/B,PRIMARY,20260812,10000,High-throughput molecular screening,0.9329,0.002501951038689607,0.17,True
Diphtheria,PRIMARY,20260816,1000,No systematic screening,0.03,0.005394441583704471,,True
Diphtheria,PRIMARY,20260816,1000,Rapid Antigen Test (RAT),0.093,0.009184280047995052,,True
Diphtheria,PRIMARY,20260816,1000,Laboratory PCR,0.073,0.008226238508577295,,True
Diphtheria,PRIMARY,20260816,1000,High-throughput molecular screening,0.804,0.01255324659201754,,True
Diphtheria,PRIMARY,20260816,5000,No systematic screening,0.0316,0.0024739215832358147,,True
Diphtheria,PRIMARY,20260816,5000,Rapid Antigen Test (RAT),0.084,0.003922856102382548,,True
Diphtheria,PRIMARY,20260816,5000,Laboratory PCR,0.0742,0.003706598440619108,,True
Diphtheria,PRIMARY,20260816,5000,High-throughput molecular screening,0.8102,0.005545736380319569,,True
Diphtheria,PRIMARY,20260816,10000,No systematic screening,0.0312,0.0017385787298825441,,True
Diphtheria,PRIMARY,20260816,10000,Rapid Antigen Test (RAT),0.0841,0.0027753772716515497,,True
Diphtheria,PRIMARY,20260816,10000,Laboratory PCR,0.0725,0.0025931399885081407,,True
Diphtheria,PRIMARY,20260816,10000,High-throughput molecular screening,0.8122,0.0039055237804934686,,True
Mpox,PRIMARY-POSTHOC,20260813,1000,No systematic screening,0.0,0.0,0.07,True
Mpox,PRIMARY-POSTHOC,20260813,1000,Rapid Antigen Test (RAT),0.0,0.0,0.07,True
Mpox,PRIMARY-POSTHOC,20260813,1000,Laboratory PCR,0.03,0.005394441583704471,0.07,True
Mpox,PRIMARY-POSTHOC,20260813,1000,High-throughput molecular screening,0.97,0.0053944415837044735,0.07,True
Mpox,PRIMARY-POSTHOC,20260813,5000,No systematic screening,0.0,0.0,0.07,True
Mpox,PRIMARY-POSTHOC,20260813,5000,Rapid Antigen Test (RAT),0.0008,0.00039983996798719363,0.07,True
Mpox,PRIMARY-POSTHOC,20260813,5000,Laboratory PCR,0.0236,0.002146766871367266,0.07,True
Mpox,PRIMARY-POSTHOC,20260813,5000,High-throughput molecular screening,0.9756,0.0021819550866138365,0.07,True
Mpox,PRIMARY-POSTHOC,20260813,10000,No systematic screening,0.0,0.0,0.07,True
Mpox,PRIMARY-POSTHOC,20260813,10000,Rapid Antigen Test (RAT),0.0005,0.0002235508890610816,0.07,True
Mpox,PRIMARY-POSTHOC,20260813,10000,Laboratory PCR,0.027,0.001620833119108812,0.07,True
Mpox,PRIMARY-POSTHOC,20260813,10000,High-throughput molecular screening,0.9725,0.001635351644142628,0.07,True
Norovirus,PRIMARY-POSTHOC,20260814,1000,No systematic screening,0.222,0.013142145943490356,0.03,True
Norovirus,PRIMARY-POSTHOC,20260814,1000,Rapid Antigen Test (RAT),0.046,0.006624499981130651,0.03,True
Norovirus,PRIMARY-POSTHOC,20260814,1000,Laboratory PCR,0.0,0.0,0.03,True
Norovirus,PRIMARY-POSTHOC,20260814,1000,High-throughput molecular screening,0.732,0.014006284303840188,0.03,True
Norovirus,PRIMARY-POSTHOC,20260814,5000,No systematic screening,0.2246,0.005901776681644265,0.03,True
Norovirus,PRIMARY-POSTHOC,20260814,5000,Rapid Antigen Test (RAT),0.056,0.003251584229264252,0.03,True
Norovirus,PRIMARY-POSTHOC,20260814,5000,Laboratory PCR,0.0,0.0,0.03,True
Norovirus,PRIMARY-POSTHOC,20260814,5000,High-throughput molecular screening,0.7194,0.0063539537297654285,0.03,True
Norovirus,PRIMARY-POSTHOC,20260814,10000,No systematic screening,0.2271,0.00418957742499169,0.03,True
Norovirus,PRIMARY-POSTHOC,20260814,10000,Rapid Antigen Test (RAT),0.056,0.0022992172581119863,0.03,True
Norovirus,PRIMARY-POSTHOC,20260814,10000,Laboratory PCR,0.0,0.0,0.03,True
Norovirus,PRIMARY-POSTHOC,20260814,10000,High-throughput molecular screening,0.7169,0.004505045948711289,0.03,True
Measles,STRESS-TEST,20260911,1000,No systematic screening,0.0,0.0,,True
Measles,STRESS-TEST,20260911,1000,Rapid Antigen Test (RAT),0.002,0.0014127986409959489,,True
Measles,STRESS-TEST,20260911,1000,Laboratory PCR,0.263,0.013922320208930694,,True
Measles,STRESS-TEST,20260911,1000,High-throughput molecular screening,0.735,0.013956181426163821,,True
Measles,STRESS-TEST,20260911,5000,No systematic screening,0.0,0.0,,True
Measles,STRESS-TEST,20260911,5000,Rapid Antigen Test (RAT),0.0012,0.0004896039215529222,,True
Measles,STRESS-TEST,20260911,5000,Laboratory PCR,0.27,0.006278534860936905,,True
Measles,STRESS-TEST,20260911,5000,High-throughput molecular screening,0.7288,0.006287297670700824,,True
Measles,STRESS-TEST,20260911,10000,No systematic screening,0.0,0.0,,True
Measles,STRESS-TEST,20260911,10000,Rapid Antigen Test (RAT),0.0012,0.00034620225302559775,,True
Measles,STRESS-TEST,20260911,10000,Laboratory PCR,0.2703,0.00444114748685517,,True
Measles,STRESS-TEST,20260911,10000,High-throughput molecular screening,0.7285,0.0044473334707440144,,True
