parameter,point_biserial_r
molecular_cost,-0.1696186604620919
VSL,0.1455705430225355
molecular_sensitivity,0.1399016326717197
rapid_sensitivity,-0.11835246518440604
lab_sensitivity,-0.11674210581335613
rapid_cost,0.09960116854688376
prevalence_pct,0.06288204679007621
symptomatic_fraction_pct,0.05549376628280643
CFR_pct,0.05044728308317935
phi_detectable_pct,0.028226220163130013
infectious_period,0.02514732002777063
Rt,0.024962344459182283
molecular_specificity,-0.014721087134523485
rapid_specificity,-0.014526701147789367
lab_specificity,-0.009720592251220265
hosp_rate_pct,-0.003931479425920489
lab_cost,0.0029157529533932135
hosp_duration,-0.0017991547446199862
