parameter,point_biserial_r
molecular_cost,-0.2374555597810473
VSL,0.22257265784014288
rapid_sensitivity,-0.2198466567755981
CFR_pct,0.1802070047445397
rapid_cost,0.1472282437593584
prevalence_pct,0.13119443924106294
Rt,0.0587496274365351
phi_detectable_pct,0.04021866192566861
hosp_rate_pct,0.03578300130087276
infectious_period,-0.0345147457538375
molecular_sensitivity,0.03066740978702246
symptomatic_fraction_pct,-0.012696198012009392
lab_sensitivity,0.009892053085500823
hosp_duration,-0.009610301286098712
lab_cost,-0.008814479992039001
molecular_specificity,-0.00822111005040098
lab_specificity,0.007238451374528078
rapid_specificity,0.006928941833703272
