parameter,point_biserial_r
molecular_sensitivity,0.46798990586854783
lab_sensitivity,-0.4419046192308503
VSL,-0.10340761087268936
lab_cost,0.09878508535799065
Rt,0.09093997180491048
CFR_pct,-0.0346805626003414
hosp_rate_pct,-0.030049044909242515
molecular_cost,-0.029160550057556557
hosp_duration,0.023816265458995626
rapid_sensitivity,-0.02010260766038018
rapid_specificity,-0.018973476019498208
infectious_period,0.015693854010867342
phi_detectable_pct,0.006952974518711917
lab_specificity,-0.005712717991207337
molecular_specificity,-0.004675506027536332
symptomatic_fraction_pct,0.0045688336016253914
prevalence_pct,-0.003799591567452985
rapid_cost,0.003242628744800812
