parameter,point_biserial_r
molecular_sensitivity,0.27153849240956685
VSL,-0.13835605852003383
lab_sensitivity,-0.13749438033914332
CFR_pct,-0.13495210821324594
lab_cost,0.10884945343039525
prevalence_pct,-0.07937682571309217
Rt,-0.07926064076521674
molecular_cost,-0.03974181413539518
phi_detectable_pct,-0.027945008425476363
infectious_period,0.019798839387856353
rapid_specificity,0.016168956379354626
molecular_specificity,0.00944866923621978
lab_specificity,-0.008446924039467911
symptomatic_fraction_pct,0.007243611242396982
rapid_cost,0.005833198243736025
hosp_rate_pct,-0.004807896893155805
rapid_sensitivity,-0.003726526686977861
hosp_duration,0.001122875506272935
