parameter,point_biserial_r
molecular_cost,-0.22736399370615729
VSL,0.16225374060625852
infectious_period,-0.10447615149451253
Rt,0.08424765279910683
hosp_duration,0.07394472480571257
rapid_sensitivity,-0.06919811820797059
symptomatic_fraction_pct,0.06825105822672262
rapid_cost,0.06306674786533537
CFR_pct,0.0600724798766152
molecular_sensitivity,0.05037224493617078
hosp_rate_pct,0.0435620714338459
prevalence_pct,0.03609378004443877
phi_detectable_pct,0.026386676467154507
lab_cost,-0.007771430400064257
lab_sensitivity,-0.005503248467630408
molecular_specificity,-0.005458532839896243
rapid_specificity,0.0031004080345649484
lab_specificity,0.0017741806467482452
