pathogen,strategy,icu_fraction,icu_los_days,seed,test_cost_draws_propagated,prob_cost_minimising,mean_test_cost,mean_programme_cost,mean_cost,median_cost,ci95_lo,ci95_hi
SARS-CoV-2,No systematic screening,0.15,7,20260811,False,0.0,0.0,0.0,6498358058.5517,3932167473.8638153,766439406.5166473,28228257764.64568
SARS-CoV-2,Rapid Antigen Test (RAT),0.15,7,20260811,False,0.0,12.48216927775855,45052082.57610543,2273284905.9657226,1265786395.8389626,236883736.26910648,10243010451.62143
SARS-CoV-2,Laboratory PCR,0.15,7,20260811,False,0.0222,99.707391834746,360416660.60884345,587372269.6576012,473922103.4255812,378770553.2167838,1338619190.5582013
SARS-CoV-2,High-throughput molecular screening,0.15,7,20260811,False,0.9778,20.08620330519832,72083332.12176865,295597232.08083254,184944386.339176,90609923.80665497,1067203128.976529
Influenza A/B,No systematic screening,0.17,5,20260812,False,0.0037,0.0,0.0,540087618.8369943,442611397.507414,106534178.34711067,1522574893.6434665
Influenza A/B,Rapid Antigen Test (RAT),0.17,5,20260812,False,0.0357,12.470505361173482,45052082.57610543,220259053.63269404,180741842.1092292,72234049.78265528,605752421.8311704
Influenza A/B,Laboratory PCR,0.17,5,20260812,False,0.0,100.2811001283517,360416660.60884345,376722484.7768915,372902769.16916597,363042002.8272959,412442732.06375384
Influenza A/B,High-throughput molecular screening,0.17,5,20260812,False,0.9606,19.96757363655416,72083332.12176865,88402122.64319664,84582386.31709158,74659245.92125478,124045168.85297073
Mpox,No systematic screening,0.07,5,20260813,False,0.0,0.0,0.0,6943977464.284929,5569671688.552732,1244909712.580984,21054128593.676704
Mpox,Rapid Antigen Test (RAT),0.07,5,20260813,False,0.0003,12.465808049178912,45052082.57610543,2283759645.92987,1726578615.5791695,342626886.33553123,7261233603.051746
Mpox,Laboratory PCR,0.07,5,20260813,False,0.0187,100.06870048598614,360416660.60884345,568576565.6555378,518426659.99143386,390120607.98874164,1036168503.8862447
Mpox,High-throughput molecular screening,0.07,5,20260813,False,0.981,19.995466647086285,72083332.12176865,280100282.2316588,228276438.556044,101432468.25399157,765419430.1771066
Norovirus,No systematic screening,0.03,2,20260814,False,0.2425,0.0,0.0,232218611.78652725,222055676.7491104,22783909.384596895,530894577.15777993
Norovirus,Rapid Antigen Test (RAT),0.03,2,20260814,False,0.0311,12.56347180841826,45052082.57610543,228272010.77011484,208086342.9538867,52159955.97690591,536828952.6641376
Norovirus,Laboratory PCR,0.03,2,20260814,False,0.0,100.00361451244213,360416660.60884345,457301533.50246316,401688185.2724911,361091902.36595404,768693276.0062877
Norovirus,High-throughput molecular screening,0.03,2,20260814,False,0.7264,19.928757347279223,72083332.12176865,169178887.07805768,112665576.78305882,72759454.38979942,479647036.80753815
Ebola,No systematic screening,0.35,10,20260815,False,0.0,0.0,0.0,21090703266.2125,16826358588.440819,3610165461.4283266,62368159554.15395
Ebola,Rapid Antigen Test (RAT),0.35,10,20260815,False,0.0,12.408611080605395,45052082.57610543,6862809615.245785,5185366280.480511,995034751.6176372,22525330761.93764
Ebola,Laboratory PCR,0.35,10,20260815,False,0.1235,100.39201803165214,360416660.60884345,996609834.0348951,838133934.0812802,450078915.5216014,2432131532.8803086
Ebola,High-throughput molecular screening,0.35,10,20260815,False,0.8765,20.02222171848482,72083332.12176865,700116841.6713066,541567175.768667,163679517.27048776,2166597623.581132
Diphtheria,No systematic screening,,,20260816,False,0.038,0.0,0.0,67318583229.6211,733544580.9905734,55068599.35031415,867927237321.4092
Diphtheria,Rapid Antigen Test (RAT),,,20260816,False,0.0684,12.448824325650685,45052082.57610543,48229945463.43664,273316597.1599861,59201911.362410955,683151275674.7651
Diphtheria,Laboratory PCR,,,20260816,False,0.0704,99.85881013984346,360416660.60884345,25262103619.07847,381521542.1749499,361786850.30396765,233843485221.69882
Diphtheria,High-throughput molecular screening,,,20260816,False,0.8232,19.97804945218265,72083332.12176865,25122816594.97545,93572514.6750116,73395985.13614921,248887747964.19852
