pathogen,strategy,icu_fraction,icu_los_days,seed,test_cost_draws_propagated,prob_cost_minimising,mean_test_cost,mean_programme_cost,mean_cost,median_cost,ci95_lo,ci95_hi
SARS-CoV-2,No systematic screening,0.15,7,20260811,True,0.0,0.0,0.0,6498358058.5517,3932167473.8638153,766439406.5166473,28228257764.64568
SARS-CoV-2,Rapid Antigen Test (RAT),0.15,7,20260811,True,0.0001,12.48216927775855,44987817.68244037,2273220641.0720577,1266647615.1757545,238617703.6619079,10237330263.318607
SARS-CoV-2,Laboratory PCR,0.15,7,20260811,True,0.0276,99.707391834746,359362052.0309662,586317661.079724,487897218.767501,275205032.5676905,1351467921.790873
SARS-CoV-2,High-throughput molecular screening,0.15,7,20260811,True,0.9723,20.08620330519832,72394023.19569895,295907923.1547628,186979899.93460166,81245569.1610689,1076009174.2615035
Influenza A/B,No systematic screening,0.17,5,20260812,True,0.0037,0.0,0.0,540087618.8369943,442611397.507414,106534178.34711067,1522574893.6434665
Influenza A/B,Rapid Antigen Test (RAT),0.17,5,20260812,True,0.0633,12.470505361173482,44945778.98378826,220152750.04037684,181005649.6530426,66845057.64719905,605642647.0643948
Influenza A/B,Laboratory PCR,0.17,5,20260812,True,0.0001,100.2811001283517,361429792.30441594,377735616.47246397,369573182.7819597,222182942.92964858,580485236.6411146
Influenza A/B,High-throughput molecular screening,0.17,5,20260812,True,0.9329,19.96757363655416,71966462.10548033,88285252.62690826,86002698.60880655,51782453.14968556,139727901.07230607
Mpox,No systematic screening,0.07,5,20260813,True,0.0,0.0,0.0,6943977464.284929,5569671688.552732,1244909712.580984,21054128593.676704
Mpox,Rapid Antigen Test (RAT),0.07,5,20260813,True,0.0005,12.465808049178912,44928849.08875906,2283636412.442524,1726724453.7651706,343820466.86875725,7250780962.510023
Mpox,Laboratory PCR,0.07,5,20260813,True,0.027,100.06870048598614,360664268.60625684,568824173.652951,532343775.54543436,295151881.1254526,1064069396.3009102
Mpox,High-throughput molecular screening,0.07,5,20260813,True,0.9725,19.995466647086285,72066993.1625835,280083943.2724735,228646673.42961276,96277049.36282772,771231709.2426145
Norovirus,No systematic screening,0.03,2,20260814,True,0.2271,0.0,0.0,232218611.78652725,222055676.7491104,22783909.384596895,530894577.15777993
Norovirus,Rapid Antigen Test (RAT),0.03,2,20260814,True,0.056,12.56347180841826,45280845.54843458,228500773.74244395,206940026.9041512,47147199.84450273,537782019.901198
Norovirus,Laboratory PCR,0.03,2,20260814,True,0.0,100.00361451244213,360429687.9138847,457314560.8075043,428607104.11167216,235655528.69938508,822934721.1089941
Norovirus,High-throughput molecular screening,0.03,2,20260814,True,0.7169,19.928757347279223,71826561.73190331,168922116.68819225,116609275.52608934,52574798.37842452,484737684.21610075
Ebola,No systematic screening,0.35,10,20260815,True,0.0,0.0,0.0,21090703266.2125,16826358588.440819,3610165461.4283266,62368159554.15395
Ebola,Rapid Antigen Test (RAT),0.35,10,20260815,True,0.0,12.408611080605395,44722701.68465689,6862480234.354336,5184089167.221856,988753464.8772925,22534167980.503063
Ebola,Laboratory PCR,0.35,10,20260815,True,0.1323,100.39201803165214,361829558.9075087,998022732.3335603,846051437.852314,398162148.66246206,2445940806.9519567
Ebola,High-throughput molecular screening,0.35,10,20260815,True,0.8677,20.02222171848482,72163422.89746158,700196932.4469994,542290031.6408812,161465903.49595913,2163820462.636548
Diphtheria,No systematic screening,,,20260816,True,0.0312,0.0,0.0,67318583229.6211,733544580.9905734,55068599.35031415,867927237321.4092
Diphtheria,Rapid Antigen Test (RAT),,,20260816,True,0.0841,12.448824325650685,44867636.91957158,48229761017.7801,273987511.88967633,53632650.26507601,683178770574.0286
Diphtheria,Laboratory PCR,,,20260816,True,0.0725,99.85881013984346,359907788.82974905,25261594747.299374,418189225.9945195,230061324.70593205,233746767449.49115
Diphtheria,High-throughput molecular screening,,,20260816,True,0.8122,19.97804945218265,72004218.69034006,25122737481.544018,102670662.51331395,51118059.620931886,248890231575.85205
