view,lead_days,old_n,new_n,old_ev_M,new_ev_M,ratio_new_old,change_pct
"Scen A, excl. avian",2,14082,10000,3.196406791897004,2.544834739606603,0.796154840509613,-20.384515949038693
"Scen A, excl. avian",5,14082,10000,6.352800670499651,4.884016591013009,0.7687973925725075,-23.120260742749256
"Scen A, excl. avian",10,14082,10000,9.87591261171844,7.422079643368533,0.7515335478527556,-24.84664521472444
"Scen A, excl. avian",14,14082,10000,11.746623614485262,8.757739875398117,0.7455538002084766,-25.44461997915234
"Scen A, incl. avian [STRESS]",2,14082,10000,11.301527769886453,8.401018908810713,0.7433524988714971,-25.66475011285029
"Scen A, incl. avian [STRESS]",5,14082,10000,20.7753187684061,15.356903854239025,0.7391898062037401,-26.081019379625992
"Scen A, incl. avian [STRESS]",10,14082,10000,28.213388312548975,20.777855240502653,0.736453736443308,-26.354626355669197
"Scen A, incl. avian [STRESS]",14,14082,10000,31.061906587523136,22.835869636289694,0.7351728256584978,-26.482717434150217
"Scen B, excl. avian",2,14082,10000,4.5671384514358095,3.7503182456183692,0.8211527383058314,-17.884726169416865
"Scen B, excl. avian",5,14082,10000,11.28322811749959,8.839343082508229,0.7834055104140768,-21.65944895859232
"Scen B, excl. avian",10,14082,10000,26.043558421529422,19.594490316082453,0.7523737731585972,-24.76262268414028
"Scen B, excl. avian",14,14082,10000,43.06539730845771,31.945522671601637,0.7417909660229185,-25.82090339770815
"Scen B, incl. avian [STRESS]",2,14082,10000,21.34697932693316,15.957794940516461,0.7475434672100306,-25.245653278996937
"Scen B, incl. avian [STRESS]",5,14082,10000,68.40000210667687,51.608078891547464,0.754504054123556,-24.549594587644396
"Scen B, incl. avian [STRESS]",10,14082,10000,203.60114718492156,161.7867900710837,0.7946261222395775,-20.537387776042248
"Scen B, incl. avian [STRESS]",14,14082,10000,359.42264436007173,301.31881879420405,0.8383412217410017,-16.165877825899834
