pathogen,modality_key,modality_label,lead_days,B_screening_only,B_combined,B_incremental_CM,pct_CM_of_combined,immediate_cm_start_A,delayed_cm_start_A,immediate_cm_start_B,delayed_cm_start_B,n_total
SARS-CoV-2,rapid,Rapid Antigen Test (RAT),2,166028040.20195532,338145308.4969182,172117268.29496288,50.900386304348665,21,21,21,23,10000
SARS-CoV-2,rapid,Rapid Antigen Test (RAT),5,354270128.291085,1004862653.9422171,650592525.6511321,64.7444228421433,21,21,21,26,10000
SARS-CoV-2,rapid,Rapid Antigen Test (RAT),10,554850318.8376894,2716778856.951249,2161928538.1135597,79.57690529657836,21,21,21,31,10000
SARS-CoV-2,rapid,Rapid Antigen Test (RAT),14,649509033.1265409,4885899833.069147,4236390799.942606,86.70646031810803,21,21,21,35,10000
SARS-CoV-2,lab,Laboratory PCR,2,238536917.41750848,341544245.58640623,103007328.16889775,30.159292536766877,21,21,21,23,10000
SARS-CoV-2,lab,Laboratory PCR,5,508072967.30614495,1014485138.9888256,506412171.6826806,49.91814588702996,21,21,21,26,10000
SARS-CoV-2,lab,Laboratory PCR,10,793437536.7310231,2740885143.0326114,1947447606.3015883,71.05177724254669,21,21,21,31,10000
SARS-CoV-2,lab,Laboratory PCR,14,926637818.2255132,4926804530.573431,4000166712.3479176,81.1919102437445,21,21,21,35,10000
SARS-CoV-2,molecular,High-throughput molecular screening,2,240136917.41750735,343144245.5864057,103007328.16889834,30.018666929083185,21,21,21,23,10000
SARS-CoV-2,molecular,High-throughput molecular screening,5,512072967.3061444,1018485138.988826,506412171.6826816,49.72209728906389,21,21,21,26,10000
SARS-CoV-2,molecular,High-throughput molecular screening,10,801437536.7310243,2748885143.0326104,1947447606.3015862,70.84499733419686,21,21,21,31,10000
SARS-CoV-2,molecular,High-throughput molecular screening,14,937837818.2255151,4938004530.573419,4000166712.3479033,81.00775703183467,21,21,21,35,10000
Mpox,rapid,Rapid Antigen Test (RAT),2,73340461.08833909,121319929.76918578,47979468.68084669,39.547886956519704,21,21,21,23,10000
Mpox,rapid,Rapid Antigen Test (RAT),5,169204300.81279302,330592862.62368536,161388561.81089234,48.81792078935513,21,21,21,26,10000
Mpox,rapid,Rapid Antigen Test (RAT),10,296741597.4998529,764708473.3620803,467966875.86222744,61.19546103690821,21,21,21,31,10000
Mpox,rapid,Rapid Antigen Test (RAT),14,374780903.220242,1204777933.5019736,829997030.2817316,68.8921175597189,21,21,21,35,10000
Mpox,lab,Laboratory PCR,2,103853196.17316264,125551635.81824893,21698439.64508629,17.282482624517442,21,21,21,23,10000
Mpox,lab,Laboratory PCR,5,239274658.6418988,341201497.0318429,101926838.38994408,29.872916524874356,21,21,21,26,10000
Mpox,lab,Laboratory PCR,10,418595472.042703,786035684.7787333,367440212.7360303,46.74599637794608,21,21,21,31,10000
Mpox,lab,Laboratory PCR,14,527539647.2346682,1234774052.5100777,707234405.2754095,57.27642266516102,21,21,21,35,10000
Mpox,molecular,High-throughput molecular screening,2,105453196.17316249,127151635.8182495,21698439.645087004,17.065010218274146,21,21,21,23,10000
Mpox,molecular,High-throughput molecular screening,5,243274658.64189813,345201497.03184354,101926838.38994542,29.526766038486514,21,21,21,26,10000
Mpox,molecular,High-throughput molecular screening,10,426595472.0427035,794035684.7787341,367440212.7360306,46.2750251379976,21,21,21,31,10000
Mpox,molecular,High-throughput molecular screening,14,538739647.234667,1245974052.5100775,707234405.2754105,56.76156769482086,21,21,21,35,10000
Norovirus,rapid,Rapid Antigen Test (RAT),2,19116834.422468245,48854070.922407866,29737236.49993962,60.869515965557056,21,21,21,23,10000
Norovirus,rapid,Rapid Antigen Test (RAT),5,26845864.044151008,82444687.4851281,55598823.4409771,67.43772720468661,21,21,21,26,10000
Norovirus,rapid,Rapid Antigen Test (RAT),10,29061964.060066998,103197417.10443312,74135453.04436612,71.83847728411939,21,21,21,31,10000
Norovirus,rapid,Rapid Antigen Test (RAT),14,28971407.50930962,108295235.69398558,79323828.18467596,73.24775432302918,21,21,21,35,10000
Norovirus,lab,Laboratory PCR,2,38933645.990222216,70140856.54235,31207210.55212778,44.492200538334366,21,21,21,23,10000
Norovirus,lab,Laboratory PCR,5,48976298.69891667,105518352.30848879,56542053.60957211,53.585042196515985,21,21,21,26,10000
Norovirus,lab,Laboratory PCR,10,48175592.90342122,122578216.31527418,74402623.41185296,60.698079682027334,21,21,21,31,10000
Norovirus,lab,Laboratory PCR,14,44767073.64774221,124216537.87930423,79449464.23156202,63.96045614212786,21,21,21,35,10000
Norovirus,molecular,High-throughput molecular screening,2,40533645.990222424,71740856.5423497,31207210.552127272,43.499913516791075,21,21,21,23,10000
Norovirus,molecular,High-throughput molecular screening,5,52976298.698916554,109518352.30848765,56542053.6095711,51.62792574737183,21,21,21,26,10000
Norovirus,molecular,High-throughput molecular screening,10,56175592.903420955,130578216.31527328,74402623.41185233,56.97935345679072,21,21,21,31,10000
Norovirus,molecular,High-throughput molecular screening,14,55967073.64774212,135416537.87930387,79449464.23156175,58.67042938461083,21,21,21,35,10000
Ebola,rapid,Rapid Antigen Test (RAT),2,244762364.21740246,418085686.10697603,173323321.88957357,41.45641136473282,21,21,21,23,10000
Ebola,rapid,Rapid Antigen Test (RAT),5,558762527.9288702,1153607065.1087875,594844537.1799173,51.56387778570186,21,21,21,26,10000
Ebola,rapid,Rapid Antigen Test (RAT),10,964658128.4492846,2729835533.682029,1765177405.2327442,64.66240853901758,21,21,21,31,10000
Ebola,rapid,Rapid Antigen Test (RAT),14,1205191104.2883883,4387103441.501324,3181912337.2129354,72.52877393116684,21,21,21,35,10000
Ebola,lab,Laboratory PCR,2,350201365.43947315,432717589.15275335,82516223.7132802,19.069301960857246,21,21,21,23,10000
Ebola,lab,Laboratory PCR,5,799100113.242506,1190229492.2557971,391129379.0132911,32.861677647728115,21,21,21,26,10000
Ebola,lab,Laboratory PCR,10,1378435750.2052007,2803242678.5316052,1424806928.3264046,50.82709888937432,21,21,21,31,10000
Ebola,lab,Laboratory PCR,14,1720888540.602542,4490077581.681576,2769189041.079034,61.67352324549249,21,21,21,35,10000
Ebola,molecular,High-throughput molecular screening,2,351801365.43947506,434317589.15275407,82516223.71327901,18.999051793929805,21,21,21,23,10000
Ebola,molecular,High-throughput molecular screening,5,803100113.2425077,1194229492.2557976,391129379.0132899,32.751609430988005,21,21,21,26,10000
Ebola,molecular,High-throughput molecular screening,10,1386435750.2052023,2811242678.531605,1424806928.3264024,50.68245936955614,21,21,21,31,10000
Ebola,molecular,High-throughput molecular screening,14,1732088540.6025465,4501277581.681578,2769189041.079031,61.520068265697205,21,21,21,35,10000
