scenario,avian_included,prob_scenario,lead_days,threat_class,representative_pathogen,annual_event_probability,useful_warning_probability_given_event,combined_prob,conditional_Bd,conditional_Bd_raw,expected_annual_contribution,expected_deaths_averted_per_year,cost_per_arriving_flight_contribution,n_total,pct_of_portfolio_ev,portfolio_view
A_screening_only,False,low,2,SARS-like respiratory virus,SARS-CoV-2,0.005,0.05,0.00025,240136917.41750735,240136917.41750735,60034.22935437684,0.016555325478995655,4.111933517423071,10000,41.54007275987083,A_screening_only_without_avian
A_screening_only,False,low,2,Ebola-like viral haemorrhagic fever,Ebola,0.001,0.05,5e-05,351801365.43947506,351801365.43947506,17590.068271973752,0.004979696068995902,1.204799196710531,10000,12.171268353519947,A_screening_only_without_avian
A_screening_only,False,low,2,Mpox-like orthopoxvirus,Mpox,0.005,0.05,0.00025,105453196.17316249,105453196.17316249,26363.299043290623,0.0074035345468084395,1.8057054139240152,10000,18.24181591445188,A_screening_only_without_avian
A_screening_only,False,low,2,High-burden enteric outbreak,Norovirus,0.02,0.05,0.001,40533645.990222424,40533645.990222424,40533.64599022242,0.004901952291033176,2.7762771226179743,10000,28.046842972157343,A_screening_only_without_avian
A_screening_only,False,low,5,SARS-like respiratory virus,SARS-CoV-2,0.005,0.05,0.00025,512072967.3061444,512072967.3061444,128018.2418265361,0.03531304581073923,8.76837272784494,10000,45.40165766967353,A_screening_only_without_avian
A_screening_only,False,low,5,Ebola-like viral haemorrhagic fever,Ebola,0.001,0.05,5e-05,803100113.2425077,803100113.2425077,40155.00566212539,0.01136907868087801,2.750342853570232,10000,14.240969058658948,A_screening_only_without_avian
A_screening_only,False,low,5,Mpox-like orthopoxvirus,Mpox,0.005,0.05,0.00025,243274658.64189813,243274658.64189813,60818.66466047453,0.017085079528685734,4.165661963046201,10000,21.56933381871497,A_screening_only_without_avian
A_screening_only,False,low,5,High-burden enteric outbreak,Norovirus,0.02,0.05,0.001,52976298.698916554,52976298.698916554,52976.29869891656,0.0064638519490664735,3.6285136095148327,10000,18.788039452952553,A_screening_only_without_avian
A_screening_only,False,low,10,SARS-like respiratory virus,SARS-CoV-2,0.005,0.05,0.00025,801437536.7310243,801437536.7310243,200359.38418275607,0.055297927007221075,13.723245491969594,10000,46.32526586417014,A_screening_only_without_avian
A_screening_only,False,low,10,Ebola-like viral haemorrhagic fever,Ebola,0.001,0.05,5e-05,1386435750.2052023,1386435750.2052023,69321.78751026012,0.019631209593317215,4.74806763768905,10000,16.027950223999014,A_screening_only_without_avian
A_screening_only,False,low,10,Mpox-like orthopoxvirus,Mpox,0.005,0.05,0.00025,426595472.0427035,426595472.0427035,106648.86801067588,0.02997729861762574,7.304716987032595,10000,24.658376670797125,A_screening_only_without_avian
A_screening_only,False,low,10,High-burden enteric outbreak,Norovirus,0.02,0.05,0.001,56175592.903420955,56175592.903420955,56175.592903420955,0.0069667316381864805,3.8476433495493803,10000,12.988407241033716,A_screening_only_without_avian
A_screening_only,False,low,14,SARS-like respiratory virus,SARS-CoV-2,0.005,0.05,0.00025,937837818.2255151,937837818.2255151,234459.4545563788,0.06474110459900775,16.058866750436906,10000,45.81828894836983,A_screening_only_without_avian
A_screening_only,False,low,14,Ebola-like viral haemorrhagic fever,Ebola,0.001,0.05,5e-05,1732088540.6025465,1732088540.6025465,86604.42703012732,0.024530040158529613,5.931810070556666,10000,16.92431925759774,A_screening_only_without_avian
A_screening_only,False,low,14,Mpox-like orthopoxvirus,Mpox,0.005,0.05,0.00025,538739647.234667,538739647.234667,134684.91180866674,0.03787745307919091,9.224993959497722,10000,26.320253187961317,A_screening_only_without_avian
A_screening_only,False,low,14,High-burden enteric outbreak,Norovirus,0.02,0.05,0.001,55967073.64774212,55967073.64774212,55967.07364774212,0.007037563658567738,3.8333612087494604,10000,10.9371386060711,A_screening_only_without_avian
A_screening_only,False,base,2,SARS-like respiratory virus,SARS-CoV-2,0.02,0.2,0.004,240136917.41750735,240136917.41750735,960547.6696700294,0.2648852076639305,65.79093627876914,10000,37.744992031133506,A_screening_only_without_avian
A_screening_only,False,base,2,Ebola-like viral haemorrhagic fever,Ebola,0.005,0.2,0.001,351801365.43947506,351801365.43947506,351801.36543947505,0.09959392137991804,24.09598393421062,10000,13.824134037633373,A_screening_only_without_avian
A_screening_only,False,base,2,Mpox-like orthopoxvirus,Mpox,0.02,0.2,0.004,105453196.17316249,105453196.17316249,421812.78469264996,0.11845655274893503,28.891286622784243,10000,16.5752525351747,A_screening_only_without_avian
A_screening_only,False,base,2,High-burden enteric outbreak,Norovirus,0.1,0.2,0.020000000000000004,40533645.990222424,40533645.990222424,810672.9198044486,0.09803904582066354,55.525542452359495,10000,31.85562139605842,A_screening_only_without_avian
A_screening_only,False,base,5,SARS-like respiratory virus,SARS-CoV-2,0.02,0.2,0.004,512072967.3061444,512072967.3061444,2048291.8692245777,0.5650087329718276,140.29396364551903,10000,41.93867549495231,A_screening_only_without_avian
A_screening_only,False,base,5,Ebola-like viral haemorrhagic fever,Ebola,0.005,0.2,0.001,803100113.2425077,803100113.2425077,803100.1132425077,0.22738157361756017,55.00685707140464,10000,16.44343540356267,A_screening_only_without_avian
A_screening_only,False,base,5,Mpox-like orthopoxvirus,Mpox,0.02,0.2,0.004,243274658.64189813,243274658.64189813,973098.6345675925,0.27336127245897174,66.65059140873922,10000,19.924146784394097,A_screening_only_without_avian
A_screening_only,False,base,5,High-burden enteric outbreak,Norovirus,0.1,0.2,0.020000000000000004,52976298.698916554,52976298.698916554,1059525.9739783313,0.1292770389813295,72.57027219029666,10000,21.69374231709094,A_screening_only_without_avian
A_screening_only,False,base,10,SARS-like respiratory virus,SARS-CoV-2,0.02,0.2,0.004,801437536.7310243,801437536.7310243,3205750.146924097,0.8847668321155372,219.5719278715135,10000,43.19207420238835,A_screening_only_without_avian
A_screening_only,False,base,10,Ebola-like viral haemorrhagic fever,Ebola,0.005,0.2,0.001,1386435750.2052023,1386435750.2052023,1386435.7502052023,0.3926241918663443,94.96135275378097,10000,18.679882416028136,A_screening_only_without_avian
