scenario,pathogen,modality,lead_days,Bd_raw,Bd_nonneg,is_negative,immediate_total_cost,delayed_total_cost,immediate_cm_start,delayed_cm_start,n_total
A_screening_only,SARS-CoV-2,rapid,2,166028040.20195532,166028040.20195532,False,1033940676.3242476,1199968716.526203,21,21,10000
B_screening_plus_countermeasures,SARS-CoV-2,rapid,2,338145308.4969182,338145308.4969182,False,1033940676.3242476,1372085984.8211658,21,23,10000
A_screening_only,SARS-CoV-2,rapid,5,354270128.291085,354270128.291085,False,1033940676.3242476,1388210804.6153326,21,21,10000
B_screening_plus_countermeasures,SARS-CoV-2,rapid,5,1004862653.9422171,1004862653.9422171,False,1033940676.3242476,2038803330.2664647,21,26,10000
A_screening_only,SARS-CoV-2,rapid,10,554850318.8376894,554850318.8376894,False,1033940676.3242476,1588790995.161937,21,21,10000
B_screening_plus_countermeasures,SARS-CoV-2,rapid,10,2716778856.951249,2716778856.951249,False,1033940676.3242476,3750719533.275497,21,31,10000
A_screening_only,SARS-CoV-2,rapid,14,649509033.1265409,649509033.1265409,False,1033940676.3242476,1683449709.4507885,21,21,10000
B_screening_plus_countermeasures,SARS-CoV-2,rapid,14,4885899833.069147,4885899833.069147,False,1033940676.3242476,5919840509.393394,21,35,10000
A_screening_only,SARS-CoV-2,lab,2,238536917.41750848,238536917.41750848,False,576390733.0881267,814927650.5056351,21,21,10000
B_screening_plus_countermeasures,SARS-CoV-2,lab,2,341544245.58640623,341544245.58640623,False,576390733.0881267,917934978.6745329,21,23,10000
A_screening_only,SARS-CoV-2,lab,5,508072967.30614495,508072967.30614495,False,576390733.0881267,1084463700.3942716,21,21,10000
B_screening_plus_countermeasures,SARS-CoV-2,lab,5,1014485138.9888256,1014485138.9888256,False,576390733.0881267,1590875872.0769522,21,26,10000
A_screening_only,SARS-CoV-2,lab,10,793437536.7310231,793437536.7310231,False,576390733.0881267,1369828269.8191497,21,21,10000
B_screening_plus_countermeasures,SARS-CoV-2,lab,10,2740885143.0326114,2740885143.0326114,False,576390733.0881267,3317275876.120738,21,31,10000
A_screening_only,SARS-CoV-2,lab,14,926637818.2255132,926637818.2255132,False,576390733.0881267,1503028551.3136399,21,21,10000
B_screening_plus_countermeasures,SARS-CoV-2,lab,14,4926804530.573431,4926804530.573431,False,576390733.0881267,5503195263.661557,21,35,10000
A_screening_only,SARS-CoV-2,molecular,2,240136917.41750735,240136917.41750735,False,288057404.60105187,528194322.0185592,21,21,10000
B_screening_plus_countermeasures,SARS-CoV-2,molecular,2,343144245.5864057,343144245.5864057,False,288057404.60105187,631201650.1874576,21,23,10000
A_screening_only,SARS-CoV-2,molecular,5,512072967.3061444,512072967.3061444,False,288057404.60105187,800130371.9071963,21,21,10000
B_screening_plus_countermeasures,SARS-CoV-2,molecular,5,1018485138.988826,1018485138.988826,False,288057404.60105187,1306542543.5898778,21,26,10000
A_screening_only,SARS-CoV-2,molecular,10,801437536.7310243,801437536.7310243,False,288057404.60105187,1089494941.332076,21,21,10000
B_screening_plus_countermeasures,SARS-CoV-2,molecular,10,2748885143.0326104,2748885143.0326104,False,288057404.60105187,3036942547.633662,21,31,10000
A_screening_only,SARS-CoV-2,molecular,14,937837818.2255151,937837818.2255151,False,288057404.60105187,1225895222.826567,21,21,10000
B_screening_plus_countermeasures,SARS-CoV-2,molecular,14,4938004530.573419,4938004530.573419,False,288057404.60105187,5226061935.174471,21,35,10000
A_screening_only,Mpox,rapid,2,73340461.08833909,73340461.08833909,False,1377526168.666912,1450866629.7552512,21,21,10000
B_screening_plus_countermeasures,Mpox,rapid,2,121319929.76918578,121319929.76918578,False,1377526168.666912,1498846098.4360979,21,23,10000
A_screening_only,Mpox,rapid,5,169204300.81279302,169204300.81279302,False,1377526168.666912,1546730469.479705,21,21,10000
B_screening_plus_countermeasures,Mpox,rapid,5,330592862.62368536,330592862.62368536,False,1377526168.666912,1708119031.2905974,21,26,10000
A_screening_only,Mpox,rapid,10,296741597.4998529,296741597.4998529,False,1377526168.666912,1674267766.166765,21,21,10000
B_screening_plus_countermeasures,Mpox,rapid,10,764708473.3620803,764708473.3620803,False,1377526168.666912,2142234642.0289924,21,31,10000
A_screening_only,Mpox,rapid,14,374780903.220242,374780903.220242,False,1377526168.666912,1752307071.887154,21,21,10000
B_screening_plus_countermeasures,Mpox,rapid,14,1204777933.5019736,1204777933.5019736,False,1377526168.666912,2582304102.1688857,21,35,10000
A_screening_only,Mpox,lab,2,103853196.17316264,103853196.17316264,False,532133773.12398535,635986969.297148,21,21,10000
B_screening_plus_countermeasures,Mpox,lab,2,125551635.81824893,125551635.81824893,False,532133773.12398535,657685408.9422343,21,23,10000
A_screening_only,Mpox,lab,5,239274658.6418988,239274658.6418988,False,532133773.12398535,771408431.7658842,21,21,10000
B_screening_plus_countermeasures,Mpox,lab,5,341201497.0318429,341201497.0318429,False,532133773.12398535,873335270.1558282,21,26,10000
A_screening_only,Mpox,lab,10,418595472.042703,418595472.042703,False,532133773.12398535,950729245.1666883,21,21,10000
B_screening_plus_countermeasures,Mpox,lab,10,786035684.7787333,786035684.7787333,False,532133773.12398535,1318169457.9027185,21,31,10000
A_screening_only,Mpox,lab,14,527539647.2346682,527539647.2346682,False,532133773.12398535,1059673420.3586535,21,21,10000
B_screening_plus_countermeasures,Mpox,lab,14,1234774052.5100777,1234774052.5100777,False,532133773.12398535,1766907825.634063,21,35,10000
A_screening_only,Mpox,molecular,2,105453196.17316249,105453196.17316249,False,243800444.63691023,349253640.8100727,21,21,10000
B_screening_plus_countermeasures,Mpox,molecular,2,127151635.8182495,127151635.8182495,False,243800444.63691023,370952080.4551597,21,23,10000
A_screening_only,Mpox,molecular,5,243274658.64189813,243274658.64189813,False,243800444.63691023,487075103.27880836,21,21,10000
B_screening_plus_countermeasures,Mpox,molecular,5,345201497.03184354,345201497.03184354,False,243800444.63691023,589001941.6687537,21,26,10000
A_screening_only,Mpox,molecular,10,426595472.0427035,426595472.0427035,False,243800444.63691023,670395916.6796137,21,21,10000
B_screening_plus_countermeasures,Mpox,molecular,10,794035684.7787341,794035684.7787341,False,243800444.63691023,1037836129.4156443,21,31,10000
A_screening_only,Mpox,molecular,14,538739647.234667,538739647.234667,False,243800444.63691023,782540091.8715771,21,21,10000
B_screening_plus_countermeasures,Mpox,molecular,14,1245974052.5100775,1245974052.5100775,False,243800444.63691023,1489774497.1469877,21,35,10000
A_screening_only,Norovirus,rapid,2,19116834.422468245,19116834.422468245,False,199956094.80228025,219072929.2247485,21,21,10000
B_screening_plus_countermeasures,Norovirus,rapid,2,48854070.922407866,48854070.922407866,False,199956094.80228025,248810165.7246881,21,23,10000
A_screening_only,Norovirus,rapid,5,26845864.044151008,26845864.044151008,False,199956094.80228025,226801958.84643126,21,21,10000
B_screening_plus_countermeasures,Norovirus,rapid,5,82444687.4851281,82444687.4851281,False,199956094.80228025,282400782.28740835,21,26,10000
A_screening_only,Norovirus,rapid,10,29061964.060066998,29061964.060066998,False,199956094.80228025,229018058.86234725,21,21,10000
B_screening_plus_countermeasures,Norovirus,rapid,10,103197417.10443312,103197417.10443312,False,199956094.80228025,303153511.90671337,21,31,10000
A_screening_only,Norovirus,rapid,14,28971407.50930962,28971407.50930962,False,199956094.80228025,228927502.31158987,21,21,10000
B_screening_plus_countermeasures,Norovirus,rapid,14,108295235.69398558,108295235.69398558,False,199956094.80228025,308251330.4962658,21,35,10000
A_screening_only,Norovirus,lab,2,38933645.990222216,38933645.990222216,False,486767268.77594095,525700914.7661632,21,21,10000
B_screening_plus_countermeasures,Norovirus,lab,2,70140856.54235,70140856.54235,False,486767268.77594095,556908125.318291,21,23,10000
A_screening_only,Norovirus,lab,5,48976298.69891667,48976298.69891667,False,486767268.77594095,535743567.4748576,21,21,10000
B_screening_plus_countermeasures,Norovirus,lab,5,105518352.30848879,105518352.30848879,False,486767268.77594095,592285621.0844297,21,26,10000
A_screening_only,Norovirus,lab,10,48175592.90342122,48175592.90342122,False,486767268.77594095,534942861.6793622,21,21,10000
B_screening_plus_countermeasures,Norovirus,lab,10,122578216.31527418,122578216.31527418,False,486767268.77594095,609345485.0912151,21,31,10000
A_screening_only,Norovirus,lab,14,44767073.64774221,44767073.64774221,False,486767268.77594095,531534342.42368317,21,21,10000
B_screening_plus_countermeasures,Norovirus,lab,14,124216537.87930423,124216537.87930423,False,486767268.77594095,610983806.6552452,21,35,10000
A_screening_only,Norovirus,molecular,2,40533645.990222424,40533645.990222424,False,198433940.28886634,238967586.27908877,21,21,10000
B_screening_plus_countermeasures,Norovirus,molecular,2,71740856.5423497,71740856.5423497,False,198433940.28886634,270174796.83121604,21,23,10000
A_screening_only,Norovirus,molecular,5,52976298.698916554,52976298.698916554,False,198433940.28886634,251410238.9877829,21,21,10000
B_screening_plus_countermeasures,Norovirus,molecular,5,109518352.30848765,109518352.30848765,False,198433940.28886634,307952292.597354,21,26,10000
A_screening_only,Norovirus,molecular,10,56175592.903420955,56175592.903420955,False,198433940.28886634,254609533.1922873,21,21,10000
B_screening_plus_countermeasures,Norovirus,molecular,10,130578216.31527328,130578216.31527328,False,198433940.28886634,329012156.6041396,21,31,10000
A_screening_only,Norovirus,molecular,14,55967073.64774212,55967073.64774212,False,198433940.28886634,254401013.93660846,21,21,10000
B_screening_plus_countermeasures,Norovirus,molecular,14,135416537.87930387,135416537.87930387,False,198433940.28886634,333850478.1681702,21,35,10000
A_screening_only,Ebola,rapid,2,244762364.21740246,244762364.21740246,False,3835961478.0936213,4080723842.3110237,21,21,10000
B_screening_plus_countermeasures,Ebola,rapid,2,418085686.10697603,418085686.10697603,False,3835961478.0936213,4254047164.2005973,21,23,10000
A_screening_only,Ebola,rapid,5,558762527.9288702,558762527.9288702,False,3835961478.0936213,4394724006.022491,21,21,10000
B_screening_plus_countermeasures,Ebola,rapid,5,1153607065.1087875,1153607065.1087875,False,3835961478.0936213,4989568543.202409,21,26,10000
A_screening_only,Ebola,rapid,10,964658128.4492846,964658128.4492846,False,3835961478.0936213,4800619606.542906,21,21,10000
B_screening_plus_countermeasures,Ebola,rapid,10,2729835533.682029,2729835533.682029,False,3835961478.0936213,6565797011.77565,21,31,10000
A_screening_only,Ebola,rapid,14,1205191104.2883883,1205191104.2883883,False,3835961478.0936213,5041152582.3820095,21,21,10000
B_screening_plus_countermeasures,Ebola,rapid,14,4387103441.501324,4387103441.501324,False,3835961478.0936213,8223064919.594945,21,35,10000
A_screening_only,Ebola,lab,2,350201365.43947315,350201365.43947315,False,876673071.7453933,1226874437.1848664,21,21,10000
B_screening_plus_countermeasures,Ebola,lab,2,432717589.15275335,432717589.15275335,False,876673071.7453933,1309390660.8981466,21,23,10000
A_screening_only,Ebola,lab,5,799100113.242506,799100113.242506,False,876673071.7453933,1675773184.9878993,21,21,10000
B_screening_plus_countermeasures,Ebola,lab,5,1190229492.2557971,1190229492.2557971,False,876673071.7453933,2066902564.0011904,21,26,10000
A_screening_only,Ebola,lab,10,1378435750.2052007,1378435750.2052007,False,876673071.7453933,2255108821.950594,21,21,10000
B_screening_plus_countermeasures,Ebola,lab,10,2803242678.5316052,2803242678.5316052,False,876673071.7453933,3679915750.2769985,21,31,10000
A_screening_only,Ebola,lab,14,1720888540.602542,1720888540.602542,False,876673071.7453933,2597561612.347935,21,21,10000
B_screening_plus_countermeasures,Ebola,lab,14,4490077581.681576,4490077581.681576,False,876673071.7453933,5366750653.426969,21,35,10000
A_screening_only,Ebola,molecular,2,351801365.43947506,351801365.43947506,False,588339743.2583177,940141108.6977928,21,21,10000
B_screening_plus_countermeasures,Ebola,molecular,2,434317589.15275407,434317589.15275407,False,588339743.2583177,1022657332.4110718,21,23,10000
A_screening_only,Ebola,molecular,5,803100113.2425077,803100113.2425077,False,588339743.2583177,1391439856.5008254,21,21,10000
B_screening_plus_countermeasures,Ebola,molecular,5,1194229492.2557976,1194229492.2557976,False,588339743.2583177,1782569235.5141153,21,26,10000
A_screening_only,Ebola,molecular,10,1386435750.2052023,1386435750.2052023,False,588339743.2583177,1974775493.46352,21,21,10000
