scenario,pathogen,modality_key,modality_label,lead_days,prevalence_tier,prevalence_multiplier,vsl_scenario,vsl,horizon_days,Bd,Bd_nonneg,delta_screening_cost,delta_hospital_cost,delta_productivity_cost,delta_mortality_cost,delta_icu_cost,delta_infections,delta_deaths,immediate_total_cost,delayed_total_cost,immediate_cm_start,delayed_cm_start,Rt,CFR_pct,infectious_period_days,phi_pct,p0_pct,sensitivity
A_screening_only,SARS-CoV-2,rapid,Rapid Antigen Test (RAT),2,0.1x,0.1,low_resource,300000,365,1850318.7881703526,1850318.7881703526,-249999.99999999255,510687.71986922855,108521.14047221188,1386482.4973825337,94627.430446357,616.4978513516417,4.623733885137312,57459925.66732523,59310244.45549558,21,21,1.6,0.75,5.5,50.0,0.15,0.675
A_screening_only,SARS-CoV-2,rapid,Rapid Antigen Test (RAT),2,0.1x,0.1,base_case,3500000,365,16639465.426917315,16639465.426917315,-249999.99999999255,510687.71986922855,108521.14047221188,16175629.136129424,94627.430446357,616.4978513516417,4.623733885137312,144828287.07043824,161467752.49735555,21,21,1.6,0.75,5.5,50.0,0.15,0.675
A_screening_only,SARS-CoV-2,rapid,Rapid Antigen Test (RAT),2,0.1x,0.1,high_income,11600000,365,54074492.85624552,54074492.85624552,-249999.99999999255,510687.71986922855,108521.14047221188,53610656.56545746,94627.430446357,616.4978513516417,4.623733885137312,365979451.87206817,420053944.7283137,21,21,1.6,0.75,5.5,50.0,0.15,0.675
A_screening_only,SARS-CoV-2,rapid,Rapid Antigen Test (RAT),2,0.5x,0.5,low_resource,300000,365,10204923.076317474,10204923.076317474,-249999.99999999255,2542090.6851497646,540194.2705943245,6901603.670089848,471034.45048362575,3068.7304874714464,23.015478656035697,106999764.20340681,117204687.27972429,21,21,1.6,0.75,5.5,50.0,0.75,0.675
A_screening_only,SARS-CoV-2,rapid,Rapid Antigen Test (RAT),2,0.5x,0.5,base_case,3500000,365,83822028.89060915,83822028.89060915,-249999.99999999255,2542090.6851497646,540194.2705943245,80518709.48438203,471034.45048362575,3068.7304874714464,23.015478656035697,543197046.5762736,627019075.4668827,21,21,1.6,0.75,5.5,50.0,0.75,0.675
A_screening_only,SARS-CoV-2,rapid,Rapid Antigen Test (RAT),2,0.5x,0.5,high_income,11600000,365,270165327.98303485,270165327.98303485,-249999.99999999255,2542090.6851497646,540194.2705943245,266862008.5768087,471034.45048362575,3068.7304874714464,23.015478656035697,1647321417.582594,1917486745.5656288,21,21,1.6,0.75,5.5,50.0,0.75,0.675
A_screening_only,SARS-CoV-2,rapid,Rapid Antigen Test (RAT),2,1x,1.0,low_resource,300000,365,20544299.532373667,20544299.532373667,-249999.99999999255,5056086.473290458,1074418.3755742246,13726931.601693392,936863.0818155855,6103.398523269221,45.775488924519266,168719919.87784007,189264219.41021374,21,21,1.6,0.75,5.5,50.0,1.5,0.675
A_screening_only,SARS-CoV-2,rapid,Rapid Antigen Test (RAT),2,1x,1.0,base_case,3500000,365,166964903.2837702,166964903.2837702,-249999.99999999255,5056086.473290458,1074418.3755742246,160147535.35309136,936863.0818155855,6103.398523269221,45.775488924519266,1039512387.5038227,1206477290.787593,21,21,1.6,0.75,5.5,50.0,1.5,0.675
A_screening_only,SARS-CoV-2,rapid,Rapid Antigen Test (RAT),2,1x,1.0,high_income,11600000,365,537592056.5294948,537592056.5294948,-249999.99999999255,5056086.473290458,1074418.3755742246,530774688.5988107,936863.0818155855,6103.398523269221,45.775488924519266,3243705821.1820946,3781297877.7115893,21,21,1.6,0.75,5.5,50.0,1.5,0.675
A_screening_only,SARS-CoV-2,rapid,Rapid Antigen Test (RAT),2,2x,2.0,low_resource,300000,365,40883788.350801945,40883788.350801945,-249999.99999999255,10001586.759481318,2125337.186389815,27153629.21126169,1853235.193668628,12072.72923250869,90.54546924381577,291486252.29221225,332370040.6430142,21,21,1.6,0.75,5.5,50.0,3.0,0.675
