scenario,pathogen,modality_key,modality_label,lead_days,prevalence_tier,prevalence_multiplier,vsl_scenario,vsl,horizon_days,Bd,Bd_nonneg,delta_screening_cost,delta_hospital_cost,delta_productivity_cost,delta_mortality_cost,delta_icu_cost,delta_infections,delta_deaths,immediate_total_cost,delayed_total_cost,immediate_cm_start,delayed_cm_start,Rt,CFR_pct,infectious_period_days,phi_pct,p0_pct,sensitivity
B_screening_plus_countermeasures,SARS-CoV-2,rapid,Rapid Antigen Test (RAT),2,0.1x,0.1,low_resource,300000,365,4030035.1410158947,4030035.1410158947,-249999.99999999255,1040680.7763833208,221144.66498145484,2825377.6734388648,192832.02621220262,1256.5145485591056,9.423859114193299,57459925.66732523,61489960.80834112,21,23,1.6,0.75,5.5,50.0,0.15,0.675
B_screening_plus_countermeasures,SARS-CoV-2,rapid,Rapid Antigen Test (RAT),2,0.1x,0.1,base_case,3500000,365,34167396.991030574,34167396.991030574,-249999.99999999255,1040680.7763833208,221144.66498145484,32962739.523453534,192832.02621220262,1256.5145485591056,9.423859114193299,144828287.07043824,178995684.0614688,21,23,1.6,0.75,5.5,50.0,0.15,0.675
B_screening_plus_countermeasures,SARS-CoV-2,rapid,Rapid Antigen Test (RAT),2,0.1x,0.1,high_income,11600000,365,110452594.17387992,110452594.17387992,-249999.99999999255,1040680.7763833208,221144.66498145484,109247936.70630312,192832.02621220262,1256.5145485591056,9.423859114193299,365979451.87206817,476432046.0459481,21,23,1.6,0.75,5.5,50.0,0.15,0.675
B_screening_plus_countermeasures,SARS-CoV-2,rapid,Rapid Antigen Test (RAT),2,0.5x,0.5,low_resource,300000,365,21042522.198575735,21042522.198575735,-249999.99999999255,5177228.177503606,1100160.9877195223,14055823.106344767,959309.9270080263,6250.8443005327135,46.881332253995254,106999764.20340681,128042286.40198255,21,23,1.6,0.75,5.5,50.0,0.75,0.675
B_screening_plus_countermeasures,SARS-CoV-2,rapid,Rapid Antigen Test (RAT),2,0.5x,0.5,base_case,3500000,365,170971301.99958706,170971301.99958706,-249999.99999999255,5177228.177503606,1100160.9877195223,163984602.9073558,959309.9270080263,6250.8443005327135,46.881332253995254,543197046.5762736,714168348.5758606,21,23,1.6,0.75,5.5,50.0,0.75,0.675
B_screening_plus_countermeasures,SARS-CoV-2,rapid,Rapid Antigen Test (RAT),2,0.5x,0.5,high_income,11600000,365,550478525.870892,550478525.870892,-249999.99999999255,5177228.177503606,1100160.9877195223,543491826.7786644,959309.9270080263,6250.8443005327135,46.881332253995254,1647321417.582594,2197799943.453486,21,23,1.6,0.75,5.5,50.0,0.75,0.675
B_screening_plus_countermeasures,SARS-CoV-2,rapid,Rapid Antigen Test (RAT),2,1x,1.0,low_resource,300000,365,42068837.75325,42068837.75325,-249999.99999999255,10289728.817095466,2186567.373632782,27935915.34053053,1906626.2219912186,12423.23298531212,93.17424738984067,168719919.87784007,210788757.63109007,21,23,1.6,0.75,5.5,50.0,1.5,0.675
B_screening_plus_countermeasures,SARS-CoV-2,rapid,Rapid Antigen Test (RAT),2,1x,1.0,base_case,3500000,365,340051934.7189096,340051934.7189096,-249999.99999999255,10289728.817095466,2186567.373632782,325919012.3061904,1906626.2219912186,12423.23298531212,93.17424738984067,1039512387.5038227,1379564322.2227323,21,23,1.6,0.75,5.5,50.0,1.5,0.675
B_screening_plus_countermeasures,SARS-CoV-2,rapid,Rapid Antigen Test (RAT),2,1x,1.0,high_income,11600000,365,1094321648.91323,1094321648.91323,-249999.99999999255,10289728.817095466,2186567.373632782,1080188726.5005145,1906626.2219912186,12423.23298531212,93.17424738984067,3243705821.1820946,4338027470.0953245,21,23,1.6,0.75,5.5,50.0,1.5,0.675
B_screening_plus_countermeasures,SARS-CoV-2,rapid,Rapid Antigen Test (RAT),2,2x,2.0,low_resource,300000,365,83341892.85950112,83341892.85950112,-249999.99999999255,20325177.97032123,4319100.318693288,55181478.652455956,3766135.918030156,24538.274044513702,184.0370553338529,291486252.29221225,374828145.1517134,21,23,1.6,0.75,5.5,50.0,3.0,0.675
