n_total,scenario,sensitivity_pathogen,variant,icu_fraction,icu_los_days,portfolio_ev,ev_mid,delta_from_mid,pct_delta_from_mid,cost_per_arriving_flight
10000,A_screening_only,Norovirus,low,0.01,1,4903843.486671957,4923236.1688392265,-19392.68216726929,-0.3939011150838533,335.87969086794226
10000,A_screening_only,Norovirus,mid,0.03,2,4923236.1688392265,4923236.1688392265,0.0,0.0,337.20795676981004
10000,A_screening_only,Norovirus,high,0.05,3,4958142.996740325,4923236.1688392265,34906.82790109888,0.7090220071512234,339.598835393173
10000,A_screening_only,Ebola,field,0.05,5,4919769.566617838,4923236.1688392265,-3466.60222138837,-0.07041307998445474,336.9705182614958
10000,A_screening_only,Ebola,mid,0.35,10,4923236.1688392265,4923236.1688392265,0.0,0.0,337.20795676981004
10000,A_screening_only,Ebola,western,0.8,12,4929742.714547067,4923236.1688392265,6506.5457078404725,0.13215993474013152,337.65361058541555
10000,B_screening_plus_countermeasures,Norovirus,low,0.01,1,8876733.941587195,8916441.134033367,-39707.19244617224,-0.4453255715961938,607.9954754511778
10000,B_screening_plus_countermeasures,Norovirus,mid,0.03,2,8916441.134033367,8916441.134033367,0.0,0.0,610.715146166669
10000,B_screening_plus_countermeasures,Norovirus,high,0.05,3,8987914.08043645,8916441.134033367,71472.94640308246,0.8015860288728397,615.6105534545513
10000,B_screening_plus_countermeasures,Ebola,field,0.05,5,8911288.311462285,8916441.134033367,-5152.822571082041,-0.057790126056169594,610.3622131138551
10000,B_screening_plus_countermeasures,Ebola,mid,0.35,10,8916441.134033367,8916441.134033367,0.0,0.0,610.715146166669
10000,B_screening_plus_countermeasures,Ebola,western,0.8,12,8926112.585628316,8916441.134033367,9671.451594948769,0.10846762121305982,611.3775743581039
