pathogen,primary_or_stress_test,vsl_anchor,vsl_value,winner,cost_none,cost_rapid,cost_lab,cost_molecular
SARS-CoV-2,primary,low_resource_300k,300000,High-throughput molecular screening,343018963.01574296,157240311.80079317,370801491.7329668,82468163.24589226
SARS-CoV-2,primary,mid_1M,1000000,High-throughput molecular screening,871371855.3150997,330044097.54976517,386797270.8357663,98463942.34869158
SARS-CoV-2,primary,WHO_base_case_3.5M,3500000,High-throughput molecular screening,2758346470.6699457,947200475.2246656,443925053.345764,155591724.85868904
SARS-CoV-2,primary,US_EPA_11.6M,11600000,High-throughput molecular screening,8872144224.419651,2946787138.8913445,629019068.6781557,340685740.19108075
Influenza A/B,primary,low_resource_300k,300000,No systematic screening,51631903.20026446,61913504.32608899,361976414.99281687,73643086.50574215
Influenza A/B,primary,mid_1M,1000000,High-throughput molecular screening,109908897.4309939,80945012.31126529,363736911.73227704,75403583.2452019
Influenza A/B,primary,WHO_base_case_3.5M,3500000,High-throughput molecular screening,318041019.6835992,148914683.68689555,370024400.087491,81691071.60041587
Influenza A/B,primary,US_EPA_11.6M,11600000,High-throughput molecular screening,992389095.7820408,369136418.9439367,390395862.3583833,102062533.8713088
Mpox,primary,low_resource_300k,300000,High-throughput molecular screening,422893297.95268404,182594625.25592348,373117028.54864174,84783700.06156734
Mpox,primary,mid_1M,1000000,High-throughput molecular screening,1202840218.7276945,436265901.5755877,396540461.6352167,108207133.14814205
Mpox,primary,WHO_base_case_3.5M,3500000,High-throughput molecular screening,3988364935.781302,1342234745.5743885,480195579.8015549,191862251.31448022
Mpox,primary,US_EPA_11.6M,11600000,High-throughput molecular screening,13013465019.034983,4277573800.130502,751238162.6604917,462904834.17341644
Norovirus,primary,low_resource_300k,300000,High-throughput molecular screening,119229564.29716298,129374143.56472966,379494796.2416151,91161467.75454009
Norovirus,primary,mid_1M,1000000,High-throughput molecular screening,134888231.27802858,140448335.4394083,382000367.5254686,93667039.03839369
Norovirus,primary,WHO_base_case_3.5M,3500000,High-throughput molecular screening,190812041.92397776,179999020.70611778,390948836.3963743,102615507.9092996
Norovirus,primary,US_EPA_11.6M,11600000,High-throughput molecular screening,372005188.4168518,308143240.97025585,419941875.5381097,131608547.05103469
Ebola,primary,low_resource_300k,300000,High-throughput molecular screening,1135454285.035485,414168513.31811833,394492732.9685246,106159404.48144984
Ebola,primary,mid_1M,1000000,High-throughput molecular screening,3366277320.683292,1139370265.064247,461441872.3449304,173108543.8578559
Ebola,primary,WHO_base_case_3.5M,3500000,High-throughput molecular screening,11333502447.996887,3729376521.3004193,700545941.546381,412212613.0593059
Ebola,primary,US_EPA_11.6M,11600000,High-throughput molecular screening,37147311860.49295,12120996791.505629,1475243125.7590787,1186909797.2720041
Diphtheria,primary,low_resource_300k,300000,No systematic screening,63503980.45217759,65711821.3465265,362324559.8284481,73991231.34137332
Diphtheria,primary,mid_1M,1000000,High-throughput molecular screening,182760281.77082092,104509452.84027499,365907469.16103905,77574140.67396417
Diphtheria,primary,WHO_base_case_3.5M,3500000,High-throughput molecular screening,608675643.6231184,243072422.46080527,378703573.92029244,90370245.43321727
Diphtheria,primary,US_EPA_11.6M,11600000,High-throughput molecular screening,1988641416.024561,692016444.0313236,420162953.3402716,131829624.853197
Measles,stress_test_only,low_resource_300k,300000,High-throughput molecular screening,23903353478.481617,23213304488.496113,21459296424.75155,21170963096.26448
Measles,stress_test_only,mid_1M,1000000,High-throughput molecular screening,33437454581.009937,32454202884.01969,29874804022.985107,29586470694.49808
Measles,stress_test_only,WHO_base_case_3.5M,3500000,High-throughput molecular screening,67487815661.46811,65457411439.46128,59930188302.39074,59641854973.903694
Measles,stress_test_only,US_EPA_11.6M,11600000,High-throughput molecular screening,177810985562.15277,172387807159.09204,157309633367.66498,157021300039.17786
