follow_up_modality,q,wbe_cost_per_sample,n_favorable,n_total,fraction_favorable
RAT,0.05,10.0,0,144,0.0
RAT,0.05,15.0,0,144,0.0
RAT,0.05,25.0,0,144,0.0
RAT,0.05,40.0,0,144,0.0
RAT,0.05,60.0,0,144,0.0
RAT,0.05,100.0,0,144,0.0
RAT,0.05,150.0,0,144,0.0
RAT,0.1,10.0,0,144,0.0
RAT,0.1,15.0,0,144,0.0
RAT,0.1,25.0,0,144,0.0
RAT,0.1,40.0,0,144,0.0
RAT,0.1,60.0,0,144,0.0
RAT,0.1,100.0,0,144,0.0
RAT,0.1,150.0,0,144,0.0
RAT,0.15,10.0,0,144,0.0
RAT,0.15,15.0,0,144,0.0
RAT,0.15,25.0,0,144,0.0
RAT,0.15,40.0,0,144,0.0
RAT,0.15,60.0,0,144,0.0
RAT,0.15,100.0,0,144,0.0
RAT,0.15,150.0,0,144,0.0
RAT,0.2,10.0,0,144,0.0
RAT,0.2,15.0,0,144,0.0
RAT,0.2,25.0,0,144,0.0
RAT,0.2,40.0,0,144,0.0
RAT,0.2,60.0,0,144,0.0
RAT,0.2,100.0,0,144,0.0
RAT,0.2,150.0,0,144,0.0
RAT,0.25,10.0,0,144,0.0
RAT,0.25,15.0,0,144,0.0
RAT,0.25,25.0,0,144,0.0
RAT,0.25,40.0,0,144,0.0
RAT,0.25,60.0,0,144,0.0
RAT,0.25,100.0,0,144,0.0
RAT,0.25,150.0,0,144,0.0
RAT,0.3,10.0,3,144,0.020833333333333332
RAT,0.3,15.0,2,144,0.013888888888888888
RAT,0.3,25.0,0,144,0.0
RAT,0.3,40.0,0,144,0.0
RAT,0.3,60.0,0,144,0.0
RAT,0.3,100.0,0,144,0.0
RAT,0.3,150.0,0,144,0.0
RAT,0.35,10.0,4,144,0.027777777777777776
RAT,0.35,15.0,4,144,0.027777777777777776
RAT,0.35,25.0,4,144,0.027777777777777776
RAT,0.35,40.0,4,144,0.027777777777777776
RAT,0.35,60.0,3,144,0.020833333333333332
RAT,0.35,100.0,0,144,0.0
RAT,0.35,150.0,0,144,0.0
RAT,0.4,10.0,11,144,0.0763888888888889
RAT,0.4,15.0,10,144,0.06944444444444445
RAT,0.4,25.0,9,144,0.0625
RAT,0.4,40.0,6,144,0.041666666666666664
RAT,0.4,60.0,4,144,0.027777777777777776
RAT,0.4,100.0,3,144,0.020833333333333332
RAT,0.4,150.0,0,144,0.0
RAT,0.45,10.0,12,144,0.08333333333333333
RAT,0.45,15.0,12,144,0.08333333333333333
RAT,0.45,25.0,12,144,0.08333333333333333
RAT,0.45,40.0,12,144,0.08333333333333333
RAT,0.45,60.0,12,144,0.08333333333333333
RAT,0.45,100.0,12,144,0.08333333333333333
RAT,0.45,150.0,3,144,0.020833333333333332
RAT,0.5,10.0,12,144,0.08333333333333333
RAT,0.5,15.0,12,144,0.08333333333333333
RAT,0.5,25.0,12,144,0.08333333333333333
RAT,0.5,40.0,12,144,0.08333333333333333
RAT,0.5,60.0,12,144,0.08333333333333333
RAT,0.5,100.0,12,144,0.08333333333333333
RAT,0.5,150.0,12,144,0.08333333333333333
RAT,0.55,10.0,12,144,0.08333333333333333
RAT,0.55,15.0,12,144,0.08333333333333333
RAT,0.55,25.0,12,144,0.08333333333333333
RAT,0.55,40.0,12,144,0.08333333333333333
RAT,0.55,60.0,12,144,0.08333333333333333
RAT,0.55,100.0,12,144,0.08333333333333333
RAT,0.55,150.0,12,144,0.08333333333333333
RAT,0.6,10.0,12,144,0.08333333333333333
RAT,0.6,15.0,12,144,0.08333333333333333
RAT,0.6,25.0,12,144,0.08333333333333333
RAT,0.6,40.0,12,144,0.08333333333333333
RAT,0.6,60.0,12,144,0.08333333333333333
RAT,0.6,100.0,12,144,0.08333333333333333
RAT,0.6,150.0,12,144,0.08333333333333333
RAT,0.65,10.0,12,144,0.08333333333333333
RAT,0.65,15.0,12,144,0.08333333333333333
RAT,0.65,25.0,12,144,0.08333333333333333
RAT,0.65,40.0,12,144,0.08333333333333333
RAT,0.65,60.0,12,144,0.08333333333333333
RAT,0.65,100.0,12,144,0.08333333333333333
RAT,0.65,150.0,12,144,0.08333333333333333
RAT,0.7,10.0,13,144,0.09027777777777778
RAT,0.7,15.0,13,144,0.09027777777777778
RAT,0.7,25.0,12,144,0.08333333333333333
RAT,0.7,40.0,12,144,0.08333333333333333
RAT,0.7,60.0,12,144,0.08333333333333333
RAT,0.7,100.0,12,144,0.08333333333333333
RAT,0.7,150.0,12,144,0.08333333333333333
RAT,0.75,10.0,15,144,0.10416666666666667
RAT,0.75,15.0,15,144,0.10416666666666667
RAT,0.75,25.0,15,144,0.10416666666666667
RAT,0.75,40.0,14,144,0.09722222222222222
RAT,0.75,60.0,13,144,0.09027777777777778
RAT,0.75,100.0,12,144,0.08333333333333333
RAT,0.75,150.0,12,144,0.08333333333333333
RAT,0.8,10.0,16,144,0.1111111111111111
RAT,0.8,15.0,16,144,0.1111111111111111
RAT,0.8,25.0,16,144,0.1111111111111111
RAT,0.8,40.0,15,144,0.10416666666666667
RAT,0.8,60.0,15,144,0.10416666666666667
RAT,0.8,100.0,14,144,0.09722222222222222
RAT,0.8,150.0,12,144,0.08333333333333333
RAT,0.85,10.0,16,144,0.1111111111111111
RAT,0.85,15.0,16,144,0.1111111111111111
RAT,0.85,25.0,16,144,0.1111111111111111
RAT,0.85,40.0,16,144,0.1111111111111111
RAT,0.85,60.0,16,144,0.1111111111111111
RAT,0.85,100.0,15,144,0.10416666666666667
RAT,0.85,150.0,13,144,0.09027777777777778
RAT,0.9,10.0,16,144,0.1111111111111111
RAT,0.9,15.0,16,144,0.1111111111111111
RAT,0.9,25.0,16,144,0.1111111111111111
RAT,0.9,40.0,16,144,0.1111111111111111
RAT,0.9,60.0,16,144,0.1111111111111111
RAT,0.9,100.0,15,144,0.10416666666666667
RAT,0.9,150.0,14,144,0.09722222222222222
RAT,0.95,10.0,20,144,0.1388888888888889
RAT,0.95,15.0,20,144,0.1388888888888889
RAT,0.95,25.0,20,144,0.1388888888888889
