pathogen,prevalence_tier,follow_up_modality,wbe_detection_prob_q,wbe_false_positive_rate,follow_up_coverage,wbe_cost_per_sample,avg_pax_per_flight,horizon_days,n_total,icu_fraction,icu_los_days,cost_per_test,uc_cumulative_infections,gate_cumulative_infections,delta_cumulative_infections,uc_cumulative_hosp_cases,gate_cumulative_hosp_cases,delta_cumulative_hosp_cases,uc_cumulative_deaths,gate_cumulative_deaths,delta_cumulative_deaths,uc_hospital_cost,gate_hospital_cost,delta_hospital_cost,uc_productivity_cost,gate_productivity_cost,delta_productivity_cost,uc_mortality_cost,gate_mortality_cost,delta_mortality_cost,uc_icu_cost,gate_icu_cost,delta_icu_cost,uc_programme_cost,gate_programme_cost,gate_wbe_sampling_cost,programme_cost_ratio,programme_cost_saving_pct,uc_total_societal_cost,gate_total_societal_cost,delta_total_societal_cost,max_rel_health_deviation
SARS-CoV-2,0.5x,RAT,1.0,0.0,1.0,0.0,250,365,10000,0.15,7,12.5,16610.165490083396,16610.165490083396,0.0,809.7455676415661,809.7455676415661,0.0,124.57624117562534,124.57624117562534,0.0,13660143.938257046,13660143.938257046,0.0,2902780.586879621,2902780.586879621,0.0,432674242.38823247,432674242.38823247,0.0,2531144.317971157,2531144.317971157,0.0,45052082.57610544,22152668.07872945,0.0,0.49171240954971307,50.82875904502869,496820393.8074452,473920979.3100687,-22899414.4973765,0.0
SARS-CoV-2,0.5x,Laboratory PCR,1.0,0.0,1.0,0.0,250,365,10000,0.15,7,100.0,1535.4004620183414,1535.4004620183416,2.2737367544323206e-13,74.85077252339343,74.85077252339343,0.0,11.51550346513744,11.51550346513745,8.881784197001252e-15,1262704.1775689838,1262704.1775689838,0.0,268324.63773340906,268324.63773340906,0.0,39995154.94562393,39995154.94562393,0.0,233971.65643190008,233971.6564319001,2.9103830456733704e-11,360416660.6088435,177221344.6298356,0.0,0.49171240954971307,50.82875904502869,402176816.02620184,218981500.04719394,-183195315.9790079,7.71289264415609e-16
SARS-CoV-2,0.5x,Sentinel RT-LAMP,1.0,0.0,1.0,0.0,250,365,10000,0.15,7,20.0,1535.4004620183414,1535.4004620183416,2.2737367544323206e-13,74.85077252339343,74.85077252339343,0.0,11.51550346513744,11.51550346513745,8.881784197001252e-15,1262704.1775689838,1262704.1775689838,0.0,268324.63773340906,268324.63773340906,0.0,39995154.94562393,39995154.94562393,0.0,233971.65643190008,233971.6564319001,2.9103830456733704e-11,72083332.12176865,35444268.925967075,0.0,0.4917124095497128,50.828759045028725,113843487.53912695,77204424.34332535,-36639063.1958016,7.71289264415609e-16
SARS-CoV-2,1x,RAT,1.0,0.0,1.0,0.0,250,365,10000,0.15,7,12.5,33169.1761179436,33169.1761179436,0.0,1616.9973357497506,1616.9973357497506,0.0,248.76882088457717,248.76882088457717,0.0,27278311.8932306,27278311.8932306,0.0,5796641.277311495,5796641.277311495,0.0,864018928.7448604,864018928.7448604,0.0,5054510.733157436,5054510.733157436,0.0,45052082.57610544,32287852.626162063,0.0,0.716678359354841,28.332164064515897,947200475.2246656,934436245.2747223,-12764229.949943304,0.0
SARS-CoV-2,1x,Laboratory PCR,1.0,0.0,1.0,0.0,250,365,10000,0.15,7,100.0,3070.3617439437967,3070.361743943797,4.547473508864641e-13,149.68013501725864,149.68013501725864,0.0,23.027713079578238,23.02771307957825,1.0658141036401503e-14,2525047.9869418875,2525047.9869418885,9.313225746154785e-10,536572.6972251504,536572.6972251504,0.0,79978895.51399644,79978895.51399644,0.0,467876.53875687916,467876.53875687916,0.0,360416660.6088435,258302821.0092965,0.0,0.716678359354841,28.332164064515897,443925053.345764,341811213.7462171,-102113839.59954691,4.628397531083321e-16
SARS-CoV-2,1x,Sentinel RT-LAMP,1.0,0.0,1.0,0.0,250,365,10000,0.15,7,20.0,3070.3617439437967,3070.361743943797,4.547473508864641e-13,149.68013501725864,149.68013501725864,0.0,23.027713079578238,23.02771307957825,1.0658141036401503e-14,2525047.9869418875,2525047.9869418885,9.313225746154785e-10,536572.6972251504,536572.6972251504,0.0,79978895.51399644,79978895.51399644,0.0,467876.53875687916,467876.53875687916,0.0,72083332.12176865,51660564.201859355,0.0,0.7166783593548423,28.332164064515773,155591724.85868904,135168956.9387797,-20422767.91990933,4.628397531083321e-16
SARS-CoV-2,2x,RAT,1.0,0.0,1.0,0.0,250,365,10000,0.15,7,12.5,66135.41666971706,66135.41666971706,0.0,3224.1015626487074,3224.1015626487074,0.0,496.0156250228781,496.0156250228781,0.0,54390097.34817771,54390097.34817771,0.0,11557895.686487775,11557895.686487775,0.0,1722763264.421918,1722763264.421918,0.0,10078165.096868223,10078165.096868223,0.0,45052082.57610544,40586357.409489095,0.0,0.9008763876992257,9.912361230077426,1843841505.1295571,1839375779.9629436,-4465725.166613579,0.0
SARS-CoV-2,2x,Laboratory PCR,1.0,0.0,1.0,0.0,250,365,10000,0.15,7,100.0,6138.968120159643,6138.968120159644,9.094947017729282e-13,299.27469585777953,299.27469585777953,0.0,46.04226090119686,46.042260901196876,1.4210854715202004e-14,5048655.607570587,5048655.607570588,9.313225746154785e-10,1072839.316608748,1072839.316608748,0.0,159912168.56558427,159912168.56558427,0.0,935486.186108668,935486.186108668,0.0,360416660.6088435,324690859.27591276,0.0,0.9008763876992257,9.912361230077426,527385810.284716,491660008.9517848,-35725801.33293122,3.086480645617599e-16
SARS-CoV-2,2x,Sentinel RT-LAMP,1.0,0.0,1.0,0.0,250,365,10000,0.15,7,20.0,6138.968120159643,6138.968120159644,9.094947017729282e-13,299.27469585777953,299.27469585777953,0.0,46.04226090119686,46.042260901196876,1.4210854715202004e-14,5048655.607570587,5048655.607570588,9.313225746154785e-10,1072839.316608748,1072839.316608748,0.0,159912168.56558427,159912168.56558427,0.0,935486.186108668,935486.186108668,0.0,72083332.12176865,64938171.855182536,0.0,0.9008763876992261,9.912361230077394,239052481.7976411,231907321.53105465,-7145160.266586453,3.086480645617599e-16
Mpox,0.5x,RAT,1.0,0.0,1.0,0.0,250,365,10000,0.07,5,12.5,3703.2131142582616,3703.2131142582616,0.0,416.61147535405627,416.6114753540566,3.410605131648481e-13,183.30904915578472,183.30904915578472,0.0,11532579.64665114,11532579.646651141,1.862645149230957e-09,2450673.1749133663,2450673.1749133663,0.0,634291880.5658131,634291880.5658132,1.1920928955078125e-07,432471.7367494175,432471.7367494175,0.0,45052082.57610544,10598990.351063231,0.0,0.23526083024372074,76.47391697562793,693759687.700232,659306595.4751894,-34453092.22504258,8.186536697650938e-16
