pathogen,prevalence_tier,follow_up_modality,wbe_false_positive_rate,follow_up_coverage,avg_pax_per_flight,horizon_days,n_total,icu_fraction,icu_los_days,wbe_detection_prob_q,wbe_cost_per_sample,uc_total_cost,wbe_total_cost,delta_c_wbe_minus_uc,wbe_cheaper
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.05,10,496820393.8074452,1339999061.7267907,843178667.9193454,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.05,15,496820393.8074452,1340071145.0589113,843250751.251466,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.05,25,496820393.8074452,1340215311.7231553,843394917.91571,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.05,40,496820393.8074452,1340431561.719521,843611167.9120758,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.05,60,496820393.8074452,1340719895.0480065,843899501.2405612,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.05,100,496820393.8074452,1341296561.7049818,844476167.8975365,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.05,150,496820393.8074452,1342017395.0262,845197001.2187548,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.1,10,496820393.8074452,1299864272.8592923,803043879.051847,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.1,15,496820393.8074452,1299936356.1914132,803115962.3839679,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.1,25,496820393.8074452,1300080522.8556561,803260129.0482109,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.1,40,496820393.8074452,1300296772.852022,803476379.0445766,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.1,60,496820393.8074452,1300585106.1805084,803764712.3730631,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.1,100,496820393.8074452,1301161772.8374834,804341379.0300381,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.1,150,496820393.8074452,1301882606.1587005,805062212.3512552,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.15,10,496820393.8074452,1262869660.8570232,766049267.049578,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.15,15,496820393.8074452,1262941744.1891446,766121350.3816993,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.15,25,496820393.8074452,1263085910.8533895,766265517.0459442,False
